county,fips,pollutant,val
Adams,31001,"1,1,2-TRICHLOROETHANE",0.0
Adams,31001,"1,3-BUTADIENE",0.0
Adams,31001,"1,3-DICHLOROPROPENE",0.0
Adams,31001,"1,4-DICHLOROBENZENE",0.0
Adams,31001,"1,4-DIOXANE",0.0
Adams,31001,"2,4,6-TRICHLOROPHENOL",0.0
Adams,31001,"2,4-DINITROTOLUENE",0.0
Adams,31001,"2,4-TOLUENE DIISOCYANATE",0.0
Adams,31001,ACETALDEHYDE,0.00042549603932
Adams,31001,ACETAMIDE,0.0
Adams,31001,ACRYLONITRILE,0.0
Adams,31001,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),5.9647286162e-05
Adams,31001,BENZENE,0.011846408823517
Adams,31001,BENZYL CHLORIDE,0.0
Adams,31001,BERYLLIUM COMPOUNDS,4.4181621999999997e-07
Adams,31001,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0
Adams,31001,BROMOFORM,0.0
Adams,31001,CADMIUM COMPOUNDS,8.7094306912e-05
Adams,31001,CARBON TETRACHLORIDE,0.0
Adams,31001,CHROMIUM VI (HEXAVALENT),1.4928270278e-05
Adams,31001,ETHYLBENZENE,0.000258485295845
Adams,31001,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.0
Adams,31001,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Adams,31001,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0
Adams,31001,FORMALDEHYDE,0.0026489435872270005
Adams,31001,HEXACHLOROBENZENE,0.0
Adams,31001,HYDRAZINE,0.0
Adams,31001,METHYL TERT-BUTYL ETHER,0.0
Adams,31001,METHYLENE CHLORIDE,0.0
Adams,31001,NAPHTHALENE,0.000582814105414
Adams,31001,NICKEL COMPOUNDS,1.722273635e-06
Adams,31001,PAHPOM,3.9244770670000004e-05
Adams,31001,PROPYLENE OXIDE,0.0
Adams,31001,TETRACHLOROETHYLENE,0.0
Adams,31001,TRICHLOROETHYLENE,0.0
Adams,31001,VINYL CHLORIDE,0.0
Antelope,31003,"1,1,2-TRICHLOROETHANE",0.0
Antelope,31003,"1,3-BUTADIENE",0.0
Antelope,31003,"1,4-DICHLOROBENZENE",0.0
Antelope,31003,"1,4-DIOXANE",0.0
Antelope,31003,"2,4,6-TRICHLOROPHENOL",0.0
Antelope,31003,"2,4-DINITROTOLUENE",0.0
Antelope,31003,"2,4-TOLUENE DIISOCYANATE",0.0
Antelope,31003,2-NITROPROPANE,0.0
Antelope,31003,ACETALDEHYDE,3.8030085317e-05
Antelope,31003,ACETAMIDE,0.0
Antelope,31003,ACRYLONITRILE,0.0
Antelope,31003,ALLYL CHLORIDE,0.0
Antelope,31003,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),3.027393279e-05
Antelope,31003,BENZENE,0.005425075477852001
Antelope,31003,BENZYL CHLORIDE,0.0
Antelope,31003,BERYLLIUM COMPOUNDS,2.9857518119999995e-06
Antelope,31003,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0
Antelope,31003,BROMOFORM,0.0
Antelope,31003,CADMIUM COMPOUNDS,0.00022130979310400003
Antelope,31003,CARBON TETRACHLORIDE,0.0
Antelope,31003,CHLOROPRENE,0.0
Antelope,31003,CHROMIUM VI (HEXAVALENT),4.4741841471e-05
Antelope,31003,EPICHLOROHYDRIN,0.0
Antelope,31003,ETHYLBENZENE,7.5140264384e-05
Antelope,31003,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.0
Antelope,31003,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Antelope,31003,ETHYLENE OXIDE,0.0
