county,fips,pollutant,val
Ada,16001,"1,1,2-TRICHLOROETHANE",1.15242232e-06
Ada,16001,"1,3-BUTADIENE",0.009205280206209998
Ada,16001,"1,3-DICHLOROPROPENE",0.0
Ada,16001,"1,4-DICHLOROBENZENE",0.0
Ada,16001,"1,4-DIOXANE",0.0
Ada,16001,"2,4,6-TRICHLOROPHENOL",2.2569329999999998e-07
Ada,16001,"2,4-DINITROTOLUENE",1.6463713e-08
Ada,16001,"2,4-TOLUENE DIISOCYANATE",0.0
Ada,16001,2-NITROPROPANE,0.0
Ada,16001,ACETALDEHYDE,0.003800692870314
Ada,16001,ACETAMIDE,0.0
Ada,16001,ACRYLONITRILE,0.0
Ada,16001,ALLYL CHLORIDE,0.0
Ada,16001,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.22107983142124102
Ada,16001,BENZENE,0.094879317295506
Ada,16001,BENZYL CHLORIDE,3.0805754633e-05
Ada,16001,BERYLLIUM COMPOUNDS,0.041642896830911005
Ada,16001,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),1.22014736e-07
Ada,16001,BROMOFORM,3.8558685e-08
Ada,16001,CADMIUM COMPOUNDS,0.059248380245888
Ada,16001,CARBON TETRACHLORIDE,0.000828189075663
Ada,16001,CHLOROPRENE,0.0
Ada,16001,CHROMIUM VI (HEXAVALENT),0.116650475747207
Ada,16001,EPICHLOROHYDRIN,0.0
Ada,16001,ETHYLBENZENE,0.00017468878741699998
Ada,16001,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.099383822595456
Ada,16001,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0022032632594960002
Ada,16001,ETHYLENE OXIDE,0.0
Ada,16001,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0
Ada,16001,FORMALDEHYDE,0.124524369965958
Ada,16001,HEXACHLOROBENZENE,0.0
Ada,16001,HEXACHLOROBUTADIENE,0.0
Ada,16001,METHYL TERT-BUTYL ETHER,8.178214000000001e-09
Ada,16001,METHYLENE CHLORIDE,5.3044981196e-05
Ada,16001,NAPHTHALENE,0.008260058209008
Ada,16001,NICKEL COMPOUNDS,0.038888985621864
Ada,16001,NITROBENZENE,0.0
Ada,16001,O-TOLUIDINE,0.0
Ada,16001,PAHPOM,0.007824164643252
Ada,16001,PENTACHLOROPHENOL,6.33729792e-07
Ada,16001,POLYCHLORINATED BIPHENYLS (AROCLORS),1.1907909840000002e-06
Ada,16001,PROPYLENE OXIDE,0.0
Ada,16001,TETRACHLOROETHYLENE,3.0950611701e-05
Ada,16001,TRICHLOROETHYLENE,0.000396266559365
Ada,16001,VINYL CHLORIDE,0.000448700367169
Adams,16003,"1,1,2-TRICHLOROETHANE",1.0136941e-08
Adams,16003,"1,3-BUTADIENE",5.668470826e-06
Adams,16003,"1,3-DICHLOROPROPENE",0.0
Adams,16003,"1,4-DICHLOROBENZENE",0.0
Adams,16003,"1,4-DIOXANE",0.0
Adams,16003,"2,4,6-TRICHLOROPHENOL",1.6636700000000002e-10
Adams,16003,"2,4-DINITROTOLUENE",1.56604e-10
Adams,16003,"2,4-TOLUENE DIISOCYANATE",0.0
Adams,16003,2-NITROPROPANE,0.0
Adams,16003,ACETALDEHYDE,1.5452378330000002e-06
Adams,16003,ACETAMIDE,0.0
Adams,16003,ACRYLONITRILE,0.0
Adams,16003,ALLYL CHLORIDE,0.0
Adams,16003,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.003424923665421
Adams,16003,BENZENE,0.000313095167342
Adams,16003,BENZYL CHLORIDE,2.95941731e-07
Adams,16003,BERYLLIUM COMPOUNDS,0.0007431437596810001
Adams,16003,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),1.1539210000000002e-09
Adams,16003,BROMOFORM,3.69421e-10
Adams,16003,CADMIUM COMPOUNDS,0.001592724367096
Adams,16003,CARBON TETRACHLORIDE,1.4857441200000002e-06
Adams,16003,CHLOROPRENE,0.0
Adams,16003,CHROMIUM VI (HEXAVALENT),0.003830374499925
Adams,16003,EPICHLOROHYDRIN,0.0
Adams,16003,ETHYLBENZENE,1.5014773000000003e-07
