county,fips,pollutant,val
Beaver,49001,"1,1,2-TRICHLOROETHANE",0.0
Beaver,49001,"1,3-BUTADIENE",0.005708235698652
Beaver,49001,"1,4-DICHLOROBENZENE",0.0
Beaver,49001,"1,4-DIOXANE",0.0
Beaver,49001,"2,4,6-TRICHLOROPHENOL",0.0
Beaver,49001,"2,4-DINITROTOLUENE",0.0
Beaver,49001,"2,4-TOLUENE DIISOCYANATE",0.0
Beaver,49001,2-NITROPROPANE,0.0
Beaver,49001,ACETALDEHYDE,0.0009995345297230001
Beaver,49001,ACETAMIDE,0.0
Beaver,49001,ACRYLONITRILE,0.0
Beaver,49001,ALLYL CHLORIDE,0.0
Beaver,49001,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Beaver,49001,BENZENE,0.06714198982148599
Beaver,49001,BENZYL CHLORIDE,0.0
Beaver,49001,BERYLLIUM COMPOUNDS,0.0
Beaver,49001,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0
Beaver,49001,CADMIUM COMPOUNDS,0.000242973555995
Beaver,49001,CARBON TETRACHLORIDE,0.0
Beaver,49001,CHLOROPRENE,0.0
Beaver,49001,CHROMIUM VI (HEXAVALENT),0.0
Beaver,49001,EPICHLOROHYDRIN,0.0
Beaver,49001,ETHYLBENZENE,0.0
Beaver,49001,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Beaver,49001,ETHYLENE OXIDE,0.0
Beaver,49001,FORMALDEHYDE,0.015351245800379
Beaver,49001,HEXACHLOROBENZENE,0.0
Beaver,49001,HEXACHLOROBUTADIENE,0.0
Beaver,49001,METHYL TERT-BUTYL ETHER,0.0
Beaver,49001,METHYLENE CHLORIDE,0.0
Beaver,49001,NAPHTHALENE,0.006337290140521
Beaver,49001,NICKEL COMPOUNDS,0.000167767399348
Beaver,49001,NITROBENZENE,0.0
Beaver,49001,O-TOLUIDINE,0.0
Beaver,49001,PAHPOM,0.0018734920728889998
Beaver,49001,PROPYLENE OXIDE,0.0
Beaver,49001,TETRACHLOROETHYLENE,0.0
Beaver,49001,TRICHLOROETHYLENE,0.0
Beaver,49001,VINYL CHLORIDE,0.0
Box Elder,49003,"1,1,2-TRICHLOROETHANE",0.0
Box Elder,49003,"1,3-BUTADIENE",0.031023717912691998
Box Elder,49003,"1,3-DICHLOROPROPENE",0.0
Box Elder,49003,"1,4-DICHLOROBENZENE",0.0
Box Elder,49003,"1,4-DIOXANE",0.0
Box Elder,49003,"2,4,6-TRICHLOROPHENOL",0.0
Box Elder,49003,"2,4-DINITROTOLUENE",0.0
Box Elder,49003,"2,4-TOLUENE DIISOCYANATE",0.0
Box Elder,49003,2-NITROPROPANE,0.0
Box Elder,49003,ACETALDEHYDE,0.006645731472064999
Box Elder,49003,ACETAMIDE,0.0
Box Elder,49003,ACRYLONITRILE,0.0
Box Elder,49003,ALLYL CHLORIDE,0.0
Box Elder,49003,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Box Elder,49003,BENZENE,0.12244150835696199
Box Elder,49003,BENZYL CHLORIDE,0.0
Box Elder,49003,BERYLLIUM COMPOUNDS,0.0
Box Elder,49003,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0
Box Elder,49003,BROMOFORM,0.0
Box Elder,49003,CADMIUM COMPOUNDS,0.0008444674091869998
Box Elder,49003,CARBON TETRACHLORIDE,0.0
Box Elder,49003,CHLOROPRENE,0.0
Box Elder,49003,CHROMIUM VI (HEXAVALENT),0.0
Box Elder,49003,EPICHLOROHYDRIN,0.0
Box Elder,49003,ETHYLBENZENE,0.0
Box Elder,49003,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.0
Box Elder,49003,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Box Elder,49003,ETHYLENE OXIDE,0.0
Box Elder,49003,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0
Box Elder,49003,FORMALDEHYDE,0.09117979429683
Box Elder,49003,HEXACHLOROBENZENE,0.0
Box Elder,49003,HEXACHLOROBUTADIENE,0.0
Box Elder,49003,METHYL TERT-BUTYL ETHER,0.0
Box Elder,49003,METHYLENE CHLORIDE,0.0
Box Elder,49003,NAPHTHALENE,0.039794377061708
Box Elder,49003,NICKEL COMPOUNDS,2.5362948459000004e-05
Box Elder,49003,NITROBENZENE,0.0
Box Elder,49003,O-TOLUIDINE,0.0
Box Elder,49003,PAHPOM,0.004289678027521
Box Elder,49003,PENTACHLOROPHENOL,0.0
Box Elder,49003,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0
Box Elder,49003,PROPYLENE OXIDE,0.0
Box Elder,49003,TETRACHLOROETHYLENE,0.0
Box Elder,49003,TRICHLOROETHYLENE,0.0
Box Elder,49003,VINYL CHLORIDE,0.0
Cache,49005,"1,1,2-TRICHLOROETHANE",0.0
Cache,49005,"1,3-BUTADIENE",0.038569667501438996
Cache,49005,"1,3-DICHLOROPROPENE",0.0
Cache,49005,"1,4-DICHLOROBENZENE",0.0
Cache,49005,"1,4-DIOXANE",0.0
Cache,49005,"2,4,6-TRICHLOROPHENOL",0.0
