county,fips,pollutant,val,population
Autauga,01001,"1,1,2-TRICHLOROETHANE",1.55499131e-07,54571
Autauga,01001,"1,3-BUTADIENE",2.621736707e-06,54571
Autauga,01001,"1,4-DICHLOROBENZENE",3.9568418151e-05,54571
Autauga,01001,"1,4-DIOXANE",7.4331127e-07,54571
Autauga,01001,"2,4,6-TRICHLOROPHENOL",9.741246394e-06,54571
Autauga,01001,"2,4-DINITROTOLUENE",2.6140426673000002e-05,54571
Autauga,01001,"2,4-TOLUENE DIISOCYANATE",0.0,54571
Autauga,01001,2-NITROPROPANE,1.3595289e-08,54571
Autauga,01001,ACETALDEHYDE,0.006529010493334001,54571
Autauga,01001,ACETAMIDE,0.0,54571
Autauga,01001,ACRYLONITRILE,0.00041399611498999997,54571
Autauga,01001,ALLYL CHLORIDE,9.657280809999998e-07,54571
Autauga,01001,ANILINE,0.0,54571
Autauga,01001,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0,54571
Autauga,01001,BENZENE,0.13321822132911199,54571
Autauga,01001,BENZYL CHLORIDE,3.3267875919999995e-06,54571
Autauga,01001,BERYLLIUM COMPOUNDS,0.0,54571
Autauga,01001,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0006996980615800001,54571
Autauga,01001,BROMOFORM,0.0,54571
Autauga,01001,CADMIUM COMPOUNDS,0.0,54571
Autauga,01001,CARBON TETRACHLORIDE,9.0078115046e-05,54571
Autauga,01001,CHLOROPRENE,4.3273832965e-05,54571
Autauga,01001,CHROMIUM VI (HEXAVALENT),0.0,54571
Autauga,01001,EPICHLOROHYDRIN,4.506357299999999e-08,54571
Autauga,01001,ETHYLBENZENE,0.005537010433285999,54571
Autauga,01001,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.0,54571
Autauga,01001,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0,54571
Autauga,01001,ETHYLENE OXIDE,0.5321425718722299,54571
Autauga,01001,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0,54571
Autauga,01001,FORMALDEHYDE,0.038675952212789,54571
Autauga,01001,HEXACHLOROBENZENE,0.000223164233416,54571
Autauga,01001,HEXACHLOROBUTADIENE,1.3319650599999998e-07,54571
Autauga,01001,METHYL TERT-BUTYL ETHER,1.37382411e-07,54571
Autauga,01001,METHYLENE CHLORIDE,4.392596620699999e-05,54571
Autauga,01001,NAPHTHALENE,0.003893020876582,54571
Autauga,01001,NICKEL COMPOUNDS,0.0,54571
Autauga,01001,NITROBENZENE,2.165759347e-06,54571
Autauga,01001,O-TOLUIDINE,7.41553999e-07,54571
Autauga,01001,PAHPOM,0.009967526764807,54571
