county,fips,pollutant,val,population
Adair,21001,"1,1,2-TRICHLOROETHANE",2.7944522999999997e-08,18656
Adair,21001,"1,3-BUTADIENE",8.203746409999999e-07,18656
Adair,21001,"1,3-DICHLOROPROPENE",0.0,18656
Adair,21001,"1,4-DICHLOROBENZENE",5.7655092201000005e-05,18656
Adair,21001,"1,4-DIOXANE",1.3365352e-07,18656
Adair,21001,"2,4,6-TRICHLOROPHENOL",3.4145354150000003e-06,18656
Adair,21001,"2,4-DINITROTOLUENE",4.754493152e-06,18656
Adair,21001,"2,4-TOLUENE DIISOCYANATE",0.0,18656
Adair,21001,2-NITROPROPANE,2.442647e-09,18656
Adair,21001,ACETALDEHYDE,0.0042236288445,18656
Adair,21001,ACETAMIDE,0.0,18656
Adair,21001,ACRYLONITRILE,0.013752171287493,18656
Adair,21001,ALLYL CHLORIDE,1.73972647e-07,18656
Adair,21001,ANILINE,0.0,18656
Adair,21001,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0,18656
Adair,21001,BENZENE,0.14583786627385,18656
Adair,21001,BENZYL CHLORIDE,5.97837965e-07,18656
Adair,21001,BERYLLIUM COMPOUNDS,0.0,18656
Adair,21001,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.000248062657968,18656
Adair,21001,BROMOFORM,0.0,18656
Adair,21001,CADMIUM COMPOUNDS,0.0,18656
Adair,21001,CARBON TETRACHLORIDE,0.00025129289846,18656
Adair,21001,CHLOROPRENE,6.897307743999999e-06,18656
Adair,21001,CHROMIUM VI (HEXAVALENT),0.0,18656
Adair,21001,EPICHLOROHYDRIN,8.099588e-09,18656
Adair,21001,ETHYLBENZENE,0.0036030042684070005,18656
Adair,21001,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.0,18656
Adair,21001,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0,18656
Adair,21001,ETHYLENE OXIDE,0.577164560941941,18656
