county,fips,pollutant,val
Barnstable,25001,"1,1,2-TRICHLOROETHANE",4.1444931e-08
Barnstable,25001,"1,3-BUTADIENE",1.292424101e-06
Barnstable,25001,"1,4-DICHLOROBENZENE",0.001395330414146
Barnstable,25001,"1,4-DIOXANE",1.98153543e-07
Barnstable,25001,"2,4,6-TRICHLOROPHENOL",6.542514720000001e-07
Barnstable,25001,"2,4-DINITROTOLUENE",6.938237856000001e-06
Barnstable,25001,"2,4-TOLUENE DIISOCYANATE",0.0
Barnstable,25001,2-NITROPROPANE,3.6207030000000003e-09
Barnstable,25001,"4,4'-METHYLENE BIS(2-CHLOROANILINE)",0.0
Barnstable,25001,ACETALDEHYDE,0.001153207872324
Barnstable,25001,ACETAMIDE,0.0
Barnstable,25001,ACRYLAMIDE,0.0
Barnstable,25001,ACRYLONITRILE,0.003468387847913
Barnstable,25001,ALLYL CHLORIDE,2.57784629e-07
Barnstable,25001,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Barnstable,25001,BENZENE,0.027787918658712003
Barnstable,25001,BENZYL CHLORIDE,8.86751229e-07
Barnstable,25001,BERYLLIUM COMPOUNDS,0.0
Barnstable,25001,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),4.6943254148e-05
Barnstable,25001,BROMOFORM,0.0
Barnstable,25001,CADMIUM COMPOUNDS,0.0
Barnstable,25001,CARBON TETRACHLORIDE,0.00015812162539899997
Barnstable,25001,CHLOROPRENE,1.725388144e-05
Barnstable,25001,CHROMIUM VI (HEXAVALENT),0.0
Barnstable,25001,EPICHLOROHYDRIN,1.1992441e-08
Barnstable,25001,ETHYLBENZENE,0.000988165731501
Barnstable,25001,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.0
Barnstable,25001,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Barnstable,25001,ETHYLENE OXIDE,0.135235100843313
Barnstable,25001,FORMALDEHYDE,0.004850291422714001
Barnstable,25001,HEXACHLOROBENZENE,1.5004742679000002e-05
Barnstable,25001,HEXACHLOROBUTADIENE,3.5506558e-08
Barnstable,25001,METHYL TERT-BUTYL ETHER,3.6695711000000004e-08
Barnstable,25001,METHYLENE CHLORIDE,0.000162508242981
Barnstable,25001,NAPHTHALENE,0.002706557893486
Barnstable,25001,NICKEL COMPOUNDS,0.0
Barnstable,25001,NITROBENZENE,5.810742239999999e-07
Barnstable,25001,O-TOLUIDINE,1.9763267499999997e-07
Barnstable,25001,PAHPOM,0.001198500836747
Barnstable,25001,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0
Barnstable,25001,PROPYLENE OXIDE,5.997207449e-06
Barnstable,25001,TETRACHLOROETHYLENE,2.33866136e-05
Barnstable,25001,TRICHLOROETHYLENE,7.375374049e-06
Barnstable,25001,VINYL CHLORIDE,0.000424594512944
Berkshire,25003,"1,1,2-TRICHLOROETHANE",3.8799362e-08
Berkshire,25003,"1,3-BUTADIENE",0.000100381148363
Berkshire,25003,"1,3-DICHLOROPROPENE",0.0
Berkshire,25003,"1,4-DICHLOROBENZENE",0.000810754106528
Berkshire,25003,"1,4-DIOXANE",1.85547512e-07
Berkshire,25003,"2,4,6-TRICHLOROPHENOL",1.86652264e-06
Berkshire,25003,"2,4-DINITROTOLUENE",6.5284922489999996e-06
Berkshire,25003,"2,4-TOLUENE DIISOCYANATE",0.0
Berkshire,25003,2-NITROPROPANE,3.3893000000000003e-09
Berkshire,25003,4-DIMETHYLAMINOAZOBENZENE,0.0
Berkshire,25003,ACETALDEHYDE,0.0032370290163129998
Berkshire,25003,ACETAMIDE,0.0
Berkshire,25003,ACRYLAMIDE,0.0
Berkshire,25003,ACRYLONITRILE,0.0065838968138919995
Berkshire,25003,ALLYL CHLORIDE,2.41282687e-07
Berkshire,25003,ANILINE,0.0
Berkshire,25003,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Berkshire,25003,BENZENE,0.08265964052372299
Berkshire,25003,BENZIDINE,0.0
Berkshire,25003,BENZYL CHLORIDE,8.276717499999999e-07
Berkshire,25003,BERYLLIUM COMPOUNDS,0.0
Berkshire,25003,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.000134519065955
Berkshire,25003,BROMOFORM,0.0
Berkshire,25003,CADMIUM COMPOUNDS,0.0
Berkshire,25003,CARBON TETRACHLORIDE,0.000145453693426
Berkshire,25003,CHLOROPRENE,2.1530565651e-05
Berkshire,25003,CHROMIUM VI (HEXAVALENT),0.0
Berkshire,25003,EPICHLOROHYDRIN,1.1240656999999998e-08
Berkshire,25003,ETHYL CARBAMATE (URETHANE) CHLORIDE (CHLOROETHANE),0.0
Berkshire,25003,ETHYLBENZENE,0.002843878033192
Berkshire,25003,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.00139421629767
Berkshire,25003,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.000109588685781
Berkshire,25003,ETHYLENE OXIDE,0.131893615564215
Berkshire,25003,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",1.2593355424000001e-05
Berkshire,25003,FORMALDEHYDE,0.013630157983186
Berkshire,25003,HEXACHLOROBENZENE,4.293432876e-05
Berkshire,25003,HEXACHLOROBUTADIENE,3.3272451e-08
Berkshire,25003,METHYL TERT-BUTYL ETHER,3.4313407999999995e-08
Berkshire,25003,METHYLENE CHLORIDE,0.000408801010874
Berkshire,25003,NAPHTHALENE,0.0029780612566319997
Berkshire,25003,NICKEL COMPOUNDS,0.0
Berkshire,25003,NITROBENZENE,5.42510885e-07
Berkshire,25003,O-TOLUIDINE,1.8497863100000004e-07
Berkshire,25003,PAHPOM,0.0035858867489899997
Berkshire,25003,PENTACHLOROPHENOL,0.0
Berkshire,25003,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0
Berkshire,25003,PROPYLENE OXIDE,5.620105698999999e-06
Berkshire,25003,TETRACHLOROETHYLENE,0.000100979155669
Berkshire,25003,TRICHLOROETHYLENE,0.00013507438286200003
Berkshire,25003,VINYL CHLORIDE,0.001122550526595
Bristol,25005,"1,1,2-TRICHLOROETHANE",1.7494543900000001e-07
Bristol,25005,"1,3-BUTADIENE",5.875972176e-06
Bristol,25005,"1,3-DICHLOROPROPENE",0.0
Bristol,25005,"1,4-DICHLOROBENZENE",0.0008162164948080002
Bristol,25005,"1,4-DIOXANE",8.38511116e-07
Bristol,25005,"2,4,6-TRICHLOROPHENOL",2.248497844e-06
Bristol,25005,"2,4-DINITROTOLUENE",2.9574574070999998e-05
Bristol,25005,"2,4-TOLUENE DIISOCYANATE",0.0
Bristol,25005,2-NITROPROPANE,1.5327218e-08
Bristol,25005,"4,4'-METHYLENE BIS(2-CHLOROANILINE)",0.0
Bristol,25005,"4,4'-METHYLENEDIANILINE",0.0
Bristol,25005,ACETALDEHYDE,0.0038259238914480002
Bristol,25005,ACETAMIDE,0.0
Bristol,25005,ACRYLAMIDE,0.0
Bristol,25005,ACRYLONITRILE,0.000589377477351
Bristol,25005,ALLYL CHLORIDE,1.0915941550000001e-06
Bristol,25005,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Bristol,25005,BENZENE,0.064022258898738
Bristol,25005,BENZYL CHLORIDE,3.743046878e-06
Bristol,25005,BERYLLIUM COMPOUNDS,0.0
Bristol,25005,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.00016221194284299999
Bristol,25005,BROMOFORM,0.0
Bristol,25005,CADMIUM COMPOUNDS,0.0
Bristol,25005,CARBON TETRACHLORIDE,0.00020108347047
Bristol,25005,CHLOROPRENE,6.6730351293e-05
Bristol,25005,CHROMIUM VI (HEXAVALENT),0.0
Bristol,25005,EPICHLOROHYDRIN,5.081569e-08
Bristol,25005,ETHYLBENZENE,0.004745785268272
Bristol,25005,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.0
Bristol,25005,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Bristol,25005,ETHYLENE OXIDE,0.09320919238136399
Bristol,25005,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0
Bristol,25005,FORMALDEHYDE,0.014964231036334
Bristol,25005,HEXACHLOROBENZENE,5.1931429749e-05
Bristol,25005,HEXACHLOROBUTADIENE,1.5026171599999997e-07
Bristol,25005,HYDRAZINE,0.0
Bristol,25005,METHYL TERT-BUTYL ETHER,1.55189465e-07
Bristol,25005,METHYLENE CHLORIDE,0.000104930644234
Bristol,25005,NAPHTHALENE,0.051316392392633
Bristol,25005,NICKEL COMPOUNDS,0.0
Bristol,25005,NITROBENZENE,2.459717549e-06
Bristol,25005,O-TOLUIDINE,8.363910470000001e-07
Bristol,25005,PAHPOM,0.003278915381118
Bristol,25005,PENTACHLOROPHENOL,0.0
Bristol,25005,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0
Bristol,25005,PROPYLENE OXIDE,2.519494718e-05
Bristol,25005,TETRACHLOROETHYLENE,2.8265547805000002e-05
Bristol,25005,TRICHLOROETHYLENE,1.8564973707000002e-05
Bristol,25005,VINYL CHLORIDE,1.4291315109000002e-05
Dukes,25007,"1,1,2-TRICHLOROETHANE",1.9793737e-08
Dukes,25007,"1,3-BUTADIENE",6.30554581e-07
Dukes,25007,"1,3-DICHLOROPROPENE",0.0
Dukes,25007,"1,4-DICHLOROBENZENE",0.000847568707006
Dukes,25007,"1,4-DIOXANE",9.4742121e-08
Dukes,25007,"2,4,6-TRICHLOROPHENOL",7.888628070000001e-07
Dukes,25007,"2,4-DINITROTOLUENE",3.333594211e-06
Dukes,25007,"2,4-TOLUENE DIISOCYANATE",0.0
Dukes,25007,2-NITROPROPANE,1.729496e-09
Dukes,25007,"4,4'-METHYLENE BIS(2-CHLOROANILINE)",0.0
Dukes,25007,ACETALDEHYDE,0.001552809459845
Dukes,25007,ACETAMIDE,0.0
Dukes,25007,ACRYLAMIDE,0.0
Dukes,25007,ACRYLONITRILE,0.0040031838743559995
Dukes,25007,ALLYL CHLORIDE,1.23175874e-07
Dukes,25007,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Dukes,25007,BENZENE,0.045016983865849
Dukes,25007,BENZYL CHLORIDE,4.21855109e-07
Dukes,25007,BERYLLIUM COMPOUNDS,0.0
Dukes,25007,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),5.6657052462000005e-05
Dukes,25007,BROMOFORM,0.0
Dukes,25007,CADMIUM COMPOUNDS,0.0
Dukes,25007,CARBON TETRACHLORIDE,0.00015293312418900002
Dukes,25007,CHLOROPRENE,7.952120845e-06
Dukes,25007,CHROMIUM VI (HEXAVALENT),0.0
Dukes,25007,EPICHLOROHYDRIN,5.732022e-09
Dukes,25007,ETHYLBENZENE,0.0009722101656860001
Dukes,25007,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.0
Dukes,25007,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Dukes,25007,ETHYLENE OXIDE,0.14268094801322
Dukes,25007,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0
Dukes,25007,FORMALDEHYDE,0.005747850105619001
Dukes,25007,HEXACHLOROBENZENE,1.8114091552999997e-05
Dukes,25007,HEXACHLOROBUTADIENE,1.6934492e-08
Dukes,25007,METHYL TERT-BUTYL ETHER,1.7484918e-08
Dukes,25007,METHYLENE CHLORIDE,0.000267424950939
Dukes,25007,NAPHTHALENE,0.0031697029745090003
Dukes,25007,NICKEL COMPOUNDS,0.0
Dukes,25007,NITROBENZENE,2.7700589500000005e-07
Dukes,25007,O-TOLUIDINE,9.419117800000002e-08
Dukes,25007,PAHPOM,0.001886305095735
Dukes,25007,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0
Dukes,25007,PROPYLENE OXIDE,2.85971211e-06
Dukes,25007,TETRACHLOROETHYLENE,2.6882402384000002e-05
Dukes,25007,TRICHLOROETHYLENE,5.773176225999999e-06
Dukes,25007,VINYL CHLORIDE,0.0005495594543230001
Essex,25009,"1,1,2-TRICHLOROETHANE",2.9227196100000003e-07
Essex,25009,"1,3-BUTADIENE",9.230688679e-06
Essex,25009,"1,3-DICHLOROPROPENE",0.0
Essex,25009,"1,4-DICHLOROBENZENE",0.0014194874286329998
Essex,25009,"1,4-DIOXANE",1.3971137140000001e-06
Essex,25009,"2,4,6-TRICHLOROPHENOL",2.09314373e-06
Essex,25009,"2,4-DINITROTOLUENE",4.930033905100001e-05
Essex,25009,"2,4-TOLUENE DIISOCYANATE",0.0
Essex,25009,2-NITROPROPANE,2.5513218999999995e-08
Essex,25009,"4,4'-METHYLENE BIS(2-CHLOROANILINE)",0.0
Essex,25009,ACETALDEHYDE,0.0029680202005500003
Essex,25009,ACETAMIDE,0.0
Essex,25009,ACRYLONITRILE,0.004158921417472
Essex,25009,ALLYL CHLORIDE,1.817303132e-06
Essex,25009,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Essex,25009,BENZENE,0.051346150178200996
Essex,25009,BENZYL CHLORIDE,6.246036275e-06
Essex,25009,BERYLLIUM COMPOUNDS,0.0
Essex,25009,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.000150741224581
Essex,25009,BROMOFORM,0.0
Essex,25009,CADMIUM COMPOUNDS,0.0
Essex,25009,CARBON TETRACHLORIDE,0.000249780058891
Essex,25009,CHLOROPRENE,0.00011402127894999999
Essex,25009,CHROMIUM VI (HEXAVALENT),0.0
Essex,25009,EPICHLOROHYDRIN,8.461211800000001e-08
Essex,25009,ETHYLBENZENE,0.004824744973764
Essex,25009,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.0
Essex,25009,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Essex,25009,ETHYLENE OXIDE,0.07102931170818699
Essex,25009,ETHYLENE THIOUREA,0.0
Essex,25009,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0
Essex,25009,FORMALDEHYDE,0.014449314025017
Essex,25009,HEXACHLOROBENZENE,4.8114469017e-05
Essex,25009,HEXACHLOROBUTADIENE,2.5022044000000003e-07
Essex,25009,HYDRAZINE,0.0
Essex,25009,METHYL TERT-BUTYL ETHER,2.58390882e-07
Essex,25009,METHYLENE CHLORIDE,0.000111487405614
Essex,25009,NAPHTHALENE,0.008516385760374001
Essex,25009,NICKEL COMPOUNDS,0.0
Essex,25009,NITROBENZENE,4.096450233e-06
Essex,25009,O-TOLUIDINE,1.39286483e-06
Essex,25009,PAHPOM,0.0027998248319979994
Essex,25009,PENTACHLOROPHENOL,0.0
Essex,25009,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0
Essex,25009,PROPYLENE OXIDE,3.6790572549000003e-05
Essex,25009,TETRACHLOROETHYLENE,4.386112349100001e-05
Essex,25009,TRICHLOROETHYLENE,2.4937140216999997e-05
Essex,25009,VINYL CHLORIDE,0.000169576162789
Franklin,25011,"1,1,2-TRICHLOROETHANE",7.6503416e-08
Franklin,25011,"1,3-BUTADIENE",0.00035657170019599995
Franklin,25011,"1,4-DICHLOROBENZENE",0.000555295753861
Franklin,25011,"1,4-DIOXANE",3.65059568e-07
Franklin,25011,"2,4,6-TRICHLOROPHENOL",4.40978134e-06
Franklin,25011,"2,4-DINITROTOLUENE",1.2904410251e-05
Franklin,25011,"2,4-TOLUENE DIISOCYANATE",0.0
Franklin,25011,2-NITROPROPANE,6.684439e-09
Franklin,25011,4-DIMETHYLAMINOAZOBENZENE,0.0
Franklin,25011,ACETALDEHYDE,0.004988958672619
Franklin,25011,ACETAMIDE,0.0
Franklin,25011,ACRYLAMIDE,0.0
Franklin,25011,ACRYLONITRILE,0.0011094034426570002
Franklin,25011,ALLYL CHLORIDE,4.77257487e-07
Franklin,25011,ANILINE,0.0
Franklin,25011,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Franklin,25011,BENZENE,0.10682908973524699
Franklin,25011,BENZIDINE,0.0
Franklin,25011,BENZYL CHLORIDE,1.6358786750000001e-06
Franklin,25011,BERYLLIUM COMPOUNDS,0.0
Franklin,25011,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.00031844236488200005
Franklin,25011,BROMOFORM,0.0
Franklin,25011,CADMIUM COMPOUNDS,0.0
Franklin,25011,CARBON TETRACHLORIDE,5.8661862828000006e-05
Franklin,25011,CHLOROPRENE,2.2170824851999996e-05
Franklin,25011,CHROMIUM VI (HEXAVALENT),0.0
Franklin,25011,EPICHLOROHYDRIN,2.2176520000000003e-08
Franklin,25011,ETHYLBENZENE,0.004469086213295
Franklin,25011,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.0
Franklin,25011,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Franklin,25011,ETHYLENE OXIDE,0.173279179841583
Franklin,25011,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0
Franklin,25011,FORMALDEHYDE,0.021682269796978
Franklin,25011,HEXACHLOROBENZENE,0.00010181278660299999
Franklin,25011,HEXACHLOROBUTADIENE,6.553481e-08
Franklin,25011,METHYL TERT-BUTYL ETHER,6.7729921e-08
Franklin,25011,METHYLENE CHLORIDE,0.000333651338588
Franklin,25011,NAPHTHALENE,0.008296981539544999
Franklin,25011,NICKEL COMPOUNDS,0.0
Franklin,25011,NITROBENZENE,1.072536433e-06
Franklin,25011,O-TOLUIDINE,3.6527515000000003e-07
Franklin,25011,PAHPOM,0.005173493604364
Franklin,25011,PENTACHLOROPHENOL,0.0
Franklin,25011,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0
Franklin,25011,PROPYLENE OXIDE,1.1070592275999997e-05
Franklin,25011,TETRACHLOROETHYLENE,3.0980554323e-05
Franklin,25011,TRICHLOROETHYLENE,9.258039761e-06
Franklin,25011,VINYL CHLORIDE,6.1320630712e-05
Hampden,25013,"1,1,2-TRICHLOROETHANE",2.6026922199999997e-07
Hampden,25013,"1,3-BUTADIENE",8.17178387e-06
Hampden,25013,"1,3-DICHLOROPROPENE",0.0
Hampden,25013,"1,4-DICHLOROBENZENE",0.0005900486016769999
Hampden,25013,"1,4-DIOXANE",1.2446564709999999e-06
Hampden,25013,"2,4,6-TRICHLOROPHENOL",5.080024336e-06
Hampden,25013,"2,4-DINITROTOLUENE",4.3717616859e-05
Hampden,25013,"2,4-TOLUENE DIISOCYANATE",0.0
Hampden,25013,2-NITROPROPANE,2.2734588e-08
Hampden,25013,ACETALDEHYDE,0.006733968694255001
Hampden,25013,ACETAMIDE,0.0
Hampden,25013,ACRYLONITRILE,0.0010463114188719999
Hampden,25013,ALLYL CHLORIDE,1.6180339009999996e-06
Hampden,25013,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Hampden,25013,BENZENE,0.10599840405220899
Hampden,25013,BENZYL CHLORIDE,5.562122267000001e-06
Hampden,25013,BERYLLIUM COMPOUNDS,0.0
Hampden,25013,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.00036530263640800005
Hampden,25013,BROMOFORM,0.0
Hampden,25013,CADMIUM COMPOUNDS,0.0
Hampden,25013,CARBON TETRACHLORIDE,0.00027333537902700004
Hampden,25013,CHLOROPRENE,9.712898113500001e-05
Hampden,25013,CHROMIUM VI (HEXAVALENT),0.0
Hampden,25013,EPICHLOROHYDRIN,7.5421853e-08
Hampden,25013,ETHYLBENZENE,0.0066560615549640005
Hampden,25013,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.0
Hampden,25013,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Hampden,25013,ETHYLENE OXIDE,0.20281563877489198
Hampden,25013,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0
Hampden,25013,FORMALDEHYDE,0.034076876330454
Hampden,25013,HEXACHLOROBENZENE,0.000116681651295
Hampden,25013,HEXACHLOROBUTADIENE,2.2179556299999999e-07
Hampden,25013,METHYL TERT-BUTYL ETHER,2.3035708299999999e-07
Hampden,25013,METHYLENE CHLORIDE,0.000168829553748
Hampden,25013,NAPHTHALENE,0.033697281234563
Hampden,25013,NICKEL COMPOUNDS,0.0
Hampden,25013,NITROBENZENE,3.657883515e-06
Hampden,25013,O-TOLUIDINE,1.241617935e-06
Hampden,25013,PAHPOM,0.005959534146293
Hampden,25013,PENTACHLOROPHENOL,0.0
Hampden,25013,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0
Hampden,25013,PROPYLENE OXIDE,3.7211737795e-05
Hampden,25013,TETRACHLOROETHYLENE,3.1473213196e-05
Hampden,25013,TRICHLOROETHYLENE,2.2203624139e-05
Hampden,25013,VINYL CHLORIDE,2.627338873e-06
Hampshire,25015,"1,1,2-TRICHLOROETHANE",1.75214072e-07
Hampshire,25015,"1,3-BUTADIENE",2.3108601869000005e-05
Hampshire,25015,"1,3-DICHLOROPROPENE",0.0
Hampshire,25015,"1,4-DICHLOROBENZENE",0.000648270182357
Hampshire,25015,"1,4-DIOXANE",8.376400870000001e-07
Hampshire,25015,"2,4,6-TRICHLOROPHENOL",5.839405234e-06
Hampshire,25015,"2,4-DINITROTOLUENE",2.9654594062000002e-05
Hampshire,25015,"2,4-TOLUENE DIISOCYANATE",0.0
Hampshire,25015,2-NITROPROPANE,1.53133e-08
Hampshire,25015,4-DIMETHYLAMINOAZOBENZENE,0.0
Hampshire,25015,ACETALDEHYDE,0.006255723088551999
Hampshire,25015,ACETAMIDE,0.0
Hampshire,25015,ACRYLONITRILE,0.0022127641664290002
Hampshire,25015,ALLYL CHLORIDE,1.0901118219999998e-06
Hampshire,25015,ANILINE,0.0
Hampshire,25015,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Hampshire,25015,BENZENE,0.116527227959111
Hampshire,25015,BENZIDINE,0.0
Hampshire,25015,BENZYL CHLORIDE,3.7479706640000003e-06
Hampshire,25015,BERYLLIUM COMPOUNDS,0.0
Hampshire,25015,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0004219796522869999
Hampshire,25015,BROMOFORM,0.0
Hampshire,25015,CADMIUM COMPOUNDS,0.0
Hampshire,25015,CARBON TETRACHLORIDE,0.000240179285897
Hampshire,25015,CHLOROPRENE,5.3148968454e-05
Hampshire,25015,CHROMIUM VI (HEXAVALENT),0.0
Hampshire,25015,EPICHLOROHYDRIN,5.0832627e-08
Hampshire,25015,ETHYLBENZENE,0.006307410526861
Hampshire,25015,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.0
Hampshire,25015,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Hampshire,25015,ETHYLENE OXIDE,0.18134106977501602
Hampshire,25015,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0
Hampshire,25015,FORMALDEHYDE,0.028736860521383002
Hampshire,25015,HEXACHLOROBENZENE,0.000134837366532
Hampshire,25015,HEXACHLOROBUTADIENE,1.50312158e-07
Hampshire,25015,METHYL TERT-BUTYL ETHER,1.54921598e-07
Hampshire,25015,METHYLENE CHLORIDE,0.000240027608466
Hampshire,25015,NAPHTHALENE,0.026098362541171
Hampshire,25015,NICKEL COMPOUNDS,0.0
Hampshire,25015,NITROBENZENE,2.458375918e-06
Hampshire,25015,O-TOLUIDINE,8.364017409999999e-07
Hampshire,25015,PAHPOM,0.006145976374053
Hampshire,25015,PENTACHLOROPHENOL,0.0
Hampshire,25015,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0
Hampshire,25015,PROPYLENE OXIDE,2.532852041e-05
Hampshire,25015,TETRACHLOROETHYLENE,3.0459960929000004e-05
Hampshire,25015,TRICHLOROETHYLENE,1.6268719392e-05
Hampshire,25015,VINYL CHLORIDE,6.285930114e-06
Middlesex,25017,"1,1,2-TRICHLOROETHANE",4.17177865e-07
Middlesex,25017,"1,3-BUTADIENE",1.2557153146e-05
Middlesex,25017,"1,3-DICHLOROPROPENE",0.0
Middlesex,25017,"1,4-DICHLOROBENZENE",0.0015331744273330001
Middlesex,25017,"1,4-DIOXANE",1.994629312e-06
Middlesex,25017,"2,4,6-TRICHLOROPHENOL",2.458320629e-06
Middlesex,25017,"2,4-DINITROTOLUENE",7.0245866976e-05
Middlesex,25017,"2,4-TOLUENE DIISOCYANATE",0.0
Middlesex,25017,2-NITROPROPANE,3.6460806e-08
Middlesex,25017,"4,4'-METHYLENE BIS(2-CHLOROANILINE)",0.0
Middlesex,25017,"4,4'-METHYLENEDIANILINE",0.0
Middlesex,25017,ACETALDEHYDE,0.003256672170277
Middlesex,25017,ACETAMIDE,0.0
Middlesex,25017,ACRYLAMIDE,0.0
Middlesex,25017,ACRYLONITRILE,0.0040635675588090005
Middlesex,25017,ALLYL CHLORIDE,2.5941463369999997e-06
Middlesex,25017,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Middlesex,25017,BENZENE,0.051040690110943
Middlesex,25017,BENZYL CHLORIDE,8.919545607000002e-06
Middlesex,25017,BERYLLIUM COMPOUNDS,0.0
Middlesex,25017,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.000176745766911
Middlesex,25017,BROMOFORM,0.0
Middlesex,25017,CADMIUM COMPOUNDS,0.0
Middlesex,25017,CARBON TETRACHLORIDE,0.00027027958775
Middlesex,25017,CHLOROPRENE,0.00016874087902399998
Middlesex,25017,CHROMIUM VI (HEXAVALENT),0.0
Middlesex,25017,EPICHLOROHYDRIN,1.20838562e-07
Middlesex,25017,ETHYLBENZENE,0.006737085650434
Middlesex,25017,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.0
Middlesex,25017,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Middlesex,25017,ETHYLENE OXIDE,0.037215449464004
Middlesex,25017,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0
Middlesex,25017,FORMALDEHYDE,0.01566472285653
Middlesex,25017,HEXACHLOROBENZENE,5.646179128e-05
Middlesex,25017,HEXACHLOROBUTADIENE,3.5746951600000003e-07
Middlesex,25017,HYDRAZINE,0.0
Middlesex,25017,METHYL TERT-BUTYL ETHER,3.69133219e-07
Middlesex,25017,METHYLENE CHLORIDE,0.000103734263079
Middlesex,25017,NAPHTHALENE,0.015919376977557
Middlesex,25017,NICKEL COMPOUNDS,0.0
Middlesex,25017,NITROBENZENE,5.844862951e-06
Middlesex,25017,O-TOLUIDINE,1.988696716e-06
Middlesex,25017,PAHPOM,0.0028641704408070004
Middlesex,25017,PENTACHLOROPHENOL,0.0
Middlesex,25017,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0
Middlesex,25017,PROPYLENE OXIDE,4.4905322525000005e-05
