county,fips,pollutant,val,population
Albany,36001,"1,4-DIOXANE",6.779967190000001e-07,304204
Albany,36001,METHYL TERT-BUTYL ETHER,1.25422789e-07,304204
Albany,36001,METHYLENE CHLORIDE,0.0015895978201229998,304204
Albany,36001,NAPHTHALENE,0.013911163315782,304204
Albany,36001,NICKEL COMPOUNDS,0.0,304204
Albany,36001,NITROBENZENE,1.985495096e-06,304204
Albany,36001,O-TOLUIDINE,6.761799019999999e-07,304204
Albany,36001,PAHPOM,0.00645589442242,304204
Albany,36001,PENTACHLOROPHENOL,0.0,304204
Albany,36001,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0,304204
Albany,36001,PROPYLENE OXIDE,2.0483174823e-05,304204
Albany,36001,TETRACHLOROETHYLENE,0.0018445007971020003,304204
Albany,36001,TRICHLOROETHYLENE,0.008673763488224,304204
Albany,36001,VINYL CHLORIDE,0.014984219189228001,304204
Allegany,36003,"1,4-DIOXANE",3.0750077600000003e-07,48946
Allegany,36003,METHYL TERT-BUTYL ETHER,5.6865154e-08,48946
Allegany,36003,METHYLENE CHLORIDE,0.001954787481564,48946
Allegany,36003,NAPHTHALENE,0.004053117581896,48946
Allegany,36003,NICKEL COMPOUNDS,0.0,48946
Allegany,36003,NITROBENZENE,9.016468969999999e-07,48946
Allegany,36003,O-TOLUIDINE,3.0651650300000004e-07,48946
Allegany,36003,PAHPOM,0.004629693322515001,48946
Allegany,36003,PROPYLENE OXIDE,9.312627453e-06,48946
Allegany,36003,TETRACHLOROETHYLENE,0.001469322624677,48946
Allegany,36003,TRICHLOROETHYLENE,0.0029563147821950004,48946
Allegany,36003,VINYL CHLORIDE,0.0020805875481,48946
Bronx,36005,"1,4-DIOXANE",2.899482945e-06,1385108
Bronx,36005,METHYL TERT-BUTYL ETHER,5.366850139999999e-07,1385108
Bronx,36005,METHYLENE CHLORIDE,7.3337811457e-05,1385108
Bronx,36005,NAPHTHALENE,0.053632649942754004,1385108
Bronx,36005,NICKEL COMPOUNDS,0.0,1385108
