county,fips,pollutant,val,population
Adair,40001,"1,1,2-TRICHLOROETHANE",2.2630632999999998e-08,22683
Adair,40001,"1,3-BUTADIENE",6.692984710000001e-07,22683
Adair,40001,"1,3-DICHLOROPROPENE",0.0,22683
Adair,40001,"1,4-DICHLOROBENZENE",1.9405266333e-05,22683
Adair,40001,"1,4-DIOXANE",1.0839378999999999e-07,22683
Adair,40001,"2,4,6-TRICHLOROPHENOL",2.514557002e-06,22683
Adair,40001,"2,4-DINITROTOLUENE",3.8028897019999997e-06,22683
Adair,40001,"2,4-TOLUENE DIISOCYANATE",0.0,22683
Adair,40001,2-NITROPROPANE,1.9796420000000002e-09,22683
Adair,40001,ACETALDEHYDE,0.0031398964058609994,22683
Adair,40001,ACETAMIDE,0.0,22683
Adair,40001,ACRYLONITRILE,0.004043557909658,22683
Adair,40001,ALLYL CHLORIDE,1.41029536e-07,22683
Adair,40001,ANILINE,0.0,22683
Adair,40001,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0,22683
Adair,40001,BENZENE,0.142747263505648,22683
Adair,40001,BENZYL CHLORIDE,4.83613588e-07,22683
Adair,40001,BERYLLIUM COMPOUNDS,0.0,22683
Adair,40001,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.00018107144780300002,22683
Adair,40001,BROMOFORM,0.0,22683
Adair,40001,CADMIUM COMPOUNDS,0.0,22683
Adair,40001,CARBON TETRACHLORIDE,0.000336441575198,22683
Adair,40001,CHLOROPRENE,5.336636388999999e-06,22683
Adair,40001,CHROMIUM VI (HEXAVALENT),0.0,22683
Adair,40001,EPICHLOROHYDRIN,6.564833000000001e-09,22683
Adair,40001,ETHYLBENZENE,0.003082377174636,22683
Adair,40001,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.0,22683
Adair,40001,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0,22683
Adair,40001,ETHYLENE OXIDE,0.503064774254487,22683
Adair,40001,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0,22683
Adair,40001,FORMALDEHYDE,0.019190425208806,22683
Adair,40001,HEXACHLOROBENZENE,5.776621133199999e-05,22683
Adair,40001,HEXACHLOROBUTADIENE,1.9414787e-08,22683
Adair,40001,METHYL TERT-BUTYL ETHER,2.0093040000000003e-08,22683
Adair,40001,METHYLENE CHLORIDE,0.0006274371151719999,22683
