county,fips,pollutant,val,population
Anderson,48001,"1,4-DIOXANE",2.69318873e-07,58458
Anderson,48001,METHYL TERT-BUTYL ETHER,4.9753482e-08,58458
Anderson,48001,METHYLENE CHLORIDE,0.000887332583642,58458
Anderson,48001,NAPHTHALENE,0.0032851879047320004,58458
Anderson,48001,NICKEL COMPOUNDS,0.0,58458
Anderson,48001,NITROBENZENE,7.88016897e-07,58458
Anderson,48001,O-TOLUIDINE,2.677218e-07,58458
Anderson,48001,PAHPOM,0.007758643919361,58458
Anderson,48001,PENTACHLOROPHENOL,0.0,58458
Anderson,48001,PROPYLENE OXIDE,8.143569245e-06,58458
Anderson,48001,TETRACHLOROETHYLENE,8.193637874e-05,58458
Anderson,48001,TRICHLOROETHYLENE,9.310151962000001e-06,58458
Anderson,48001,VINYL CHLORIDE,1.5889713097e-05,58458
Andrews,48003,"1,4-DIOXANE",1.7139197400000002e-07,14786
Andrews,48003,METHYL TERT-BUTYL ETHER,3.1693843999999996e-08,14786
Andrews,48003,METHYLENE CHLORIDE,5.333250653600001e-05,14786
Andrews,48003,NAPHTHALENE,0.00011226745234299999,14786
Andrews,48003,NICKEL COMPOUNDS,0.0,14786
Andrews,48003,NITROBENZENE,5.018708179999999e-07,14786
Andrews,48003,O-TOLUIDINE,1.70918145e-07,14786
Andrews,48003,PAHPOM,5.5698285427e-05,14786
Andrews,48003,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0,14786
Andrews,48003,PROPYLENE OXIDE,5.179059653e-06,14786
Andrews,48003,TETRACHLOROETHYLENE,2.0675747899e-05,14786
Andrews,48003,TRICHLOROETHYLENE,2.475319358e-06,14786
Andrews,48003,VINYL CHLORIDE,1.98263486e-07,14786
Angelina,48005,"1,4-DIOXANE",3.44280946e-07,86771
Angelina,48005,METHYL TERT-BUTYL ETHER,6.3787587e-08,86771
Angelina,48005,METHYLENE CHLORIDE,0.00045478603200500004,86771
Angelina,48005,NAPHTHALENE,0.002235491347118,86771
Angelina,48005,NICKEL COMPOUNDS,0.0,86771
Angelina,48005,NITROBENZENE,1.010133876e-06,86771
Angelina,48005,O-TOLUIDINE,3.4429368299999993e-07,86771
Angelina,48005,PAHPOM,0.006155612878407,86771
Angelina,48005,PENTACHLOROPHENOL,0.0,86771
Angelina,48005,PROPYLENE OXIDE,1.0429034789e-05,86771
Angelina,48005,TETRACHLOROETHYLENE,5.079556316800001e-05,86771
Angelina,48005,TOXAPHENE (CHLORINATED CAMPHENE),0.0,86771
Angelina,48005,TRICHLOROETHYLENE,6.979455113e-06,86771
Angelina,48005,VINYL CHLORIDE,1.0341905541000001e-05,86771
Aransas,48007,"1,4-DIOXANE",1.42545802e-07,23158
Aransas,48007,METHYL TERT-BUTYL ETHER,2.6384435000000003e-08,23158
Aransas,48007,METHYLENE CHLORIDE,0.000659917397796,23158
Aransas,48007,NAPHTHALENE,0.000540490539289,23158
Aransas,48007,NICKEL COMPOUNDS,0.0,23158
Aransas,48007,NITROBENZENE,4.17844807e-07,23158
Aransas,48007,O-TOLUIDINE,1.42247141e-07,23158
Aransas,48007,PAHPOM,0.00111257569988,23158
Aransas,48007,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0,23158
Aransas,48007,PROPYLENE OXIDE,4.31313953e-06,23158
Aransas,48007,TETRACHLOROETHYLENE,3.3129990620000005e-05,23158
