county,fips,pollutant,val,population
Accomack,51001,"1,1,2-TRICHLOROETHANE",2.7481413e-08,33164
Accomack,51001,"1,3-BUTADIENE",0.000648263050388,33164
Accomack,51001,"1,3-DICHLOROPROPENE",0.0,33164
Accomack,51001,"1,4-DICHLOROBENZENE",9.1909964823e-05,33164
Accomack,51001,"1,4-DIOXANE",1.3175147e-07,33164
Accomack,51001,"2,4,6-TRICHLOROPHENOL",1.765808154e-06,33164
Accomack,51001,"2,4-DINITROTOLUENE",4.702468548e-06,33164
Accomack,51001,"2,4-TOLUENE DIISOCYANATE",0.0,33164
Accomack,51001,2-NITROPROPANE,2.4038e-09,33164
Accomack,51001,ACETALDEHYDE,0.0029807676789290003,33164
Accomack,51001,ACETAMIDE,0.0,33164
Accomack,51001,ACRYLONITRILE,0.006860777798769,33164
Accomack,51001,ALLYL CHLORIDE,1.7122816500000002e-07,33164
Accomack,51001,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),3.1978211780000005e-06,33164
Accomack,51001,BENZENE,0.08902392151719801,33164
Accomack,51001,BENZYL CHLORIDE,5.882379969999999e-07,33164
Accomack,51001,BERYLLIUM COMPOUNDS,0.0,33164
Accomack,51001,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.000128781020598,33164
Accomack,51001,BROMOFORM,0.0,33164
Accomack,51001,CADMIUM COMPOUNDS,1.4977665e-07,33164
Accomack,51001,CARBON TETRACHLORIDE,0.00021877485138599998,33164
Accomack,51001,CHLOROPRENE,9.639509988e-06,33164
Accomack,51001,CHROMIUM VI (HEXAVALENT),9.194406940000001e-07,33164
Accomack,51001,EPICHLOROHYDRIN,7.985185e-09,33164
Accomack,51001,ETHYLBENZENE,0.001791662888414,33164
Accomack,51001,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.0,33164
Accomack,51001,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0,33164
Accomack,51001,ETHYLENE OXIDE,0.28346178005679196,33164
Accomack,51001,FORMALDEHYDE,0.01238848821614,33164
Accomack,51001,HEXACHLOROBENZENE,4.102736267400001e-05,33164
Accomack,51001,HEXACHLOROBUTADIENE,2.3588686e-08,33164
Accomack,51001,METHYL TERT-BUTYL ETHER,2.4356377e-08,33164
Accomack,51001,METHYLENE CHLORIDE,0.0010006048414039998,33164
Accomack,51001,NAPHTHALENE,0.001736016220869,33164
Accomack,51001,NICKEL COMPOUNDS,4.3836304e-08,33164
Accomack,51001,NITROBENZENE,3.8591903899999996e-07,33164
Accomack,51001,O-TOLUIDINE,1.31274244e-07,33164
Accomack,51001,PAHPOM,0.004977495838484,33164
Accomack,51001,PENTACHLOROPHENOL,0.0,33164
Accomack,51001,POLYCHLORINATED BIPHENYLS (AROCLORS),9.56745e-09,33164
Accomack,51001,PROPYLENE OXIDE,3.984052553e-06,33164
Accomack,51001,TETRACHLOROETHYLENE,0.000131597975401,33164
Accomack,51001,TRICHLOROETHYLENE,3.4029649153000006e-05,33164
Accomack,51001,VINYL CHLORIDE,0.000285194391565,33164
Albemarle,51003,"1,1,2-TRICHLOROETHANE",1.1029180199999999e-07,98970
Albemarle,51003,"1,3-BUTADIENE",3.361487394e-06,98970
Albemarle,51003,"1,3-DICHLOROPROPENE",0.0,98970
Albemarle,51003,"1,4-DICHLOROBENZENE",0.000623388320061,98970
Albemarle,51003,"1,4-DIOXANE",5.27605669e-07,98970
Albemarle,51003,"2,4,6-TRICHLOROPHENOL",5.688919356e-06,98970
Albemarle,51003,"2,4-DINITROTOLUENE",1.8683834903e-05,98970
Albemarle,51003,"2,4-TOLUENE DIISOCYANATE",0.0,98970
Albemarle,51003,2-NITROPROPANE,9.649460999999999e-09,98970
Albemarle,51003,ACETALDEHYDE,0.0071225250150500005,98970
Albemarle,51003,ACETAMIDE,0.0,98970
Albemarle,51003,ACRYLONITRILE,0.001308825065669,98970
Albemarle,51003,ALLYL CHLORIDE,6.85805159e-07,98970
Albemarle,51003,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0,98970
Albemarle,51003,BENZENE,0.151588584483125,98970
Albemarle,51003,BENZYL CHLORIDE,2.35200188e-06,98970
Albemarle,51003,BERYLLIUM COMPOUNDS,0.0,98970
