county,fips,pollutant,val
Ada,16001,"1,1,2-TRICHLOROETHANE",0.0
Ada,16001,"1,3-BUTADIENE",0.0013993194930720001
Ada,16001,"1,3-DICHLOROPROPENE",0.0
Ada,16001,"1,4-DICHLOROBENZENE",0.0
Ada,16001,"1,4-DIOXANE",0.0
Ada,16001,"2,4,6-TRICHLOROPHENOL",0.0
Ada,16001,"2,4-DINITROTOLUENE",0.0
Ada,16001,"2,4-TOLUENE DIISOCYANATE",0.0
Ada,16001,2-NITROPROPANE,0.0
Ada,16001,ACETALDEHYDE,0.0017126318521529997
Ada,16001,ACETAMIDE,0.0
Ada,16001,ACRYLONITRILE,0.0
Ada,16001,ALLYL CHLORIDE,0.0
Ada,16001,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Ada,16001,BENZENE,0.0017886212798350002
Ada,16001,BENZYL CHLORIDE,0.0
Ada,16001,BERYLLIUM COMPOUNDS,0.0
Ada,16001,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0
Ada,16001,BROMOFORM,0.0
Ada,16001,CADMIUM COMPOUNDS,0.0
Ada,16001,CARBON TETRACHLORIDE,0.0
Ada,16001,CHLOROPRENE,0.0
Ada,16001,CHROMIUM VI (HEXAVALENT),0.0
Ada,16001,EPICHLOROHYDRIN,0.0
Ada,16001,ETHYLBENZENE,0.00017324141421299998
Ada,16001,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.0
Ada,16001,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Ada,16001,ETHYLENE OXIDE,0.0
Ada,16001,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0
Ada,16001,FORMALDEHYDE,0.024654116810445
Ada,16001,HEXACHLOROBENZENE,0.0
Ada,16001,HEXACHLOROBUTADIENE,0.0
Ada,16001,METHYL TERT-BUTYL ETHER,0.0
Ada,16001,METHYLENE CHLORIDE,0.0
Ada,16001,NAPHTHALENE,0.007626191911834001
Ada,16001,NICKEL COMPOUNDS,0.0
Ada,16001,NITROBENZENE,0.0
Ada,16001,O-TOLUIDINE,0.0
Ada,16001,PAHPOM,0.00017894022643400004
Ada,16001,PENTACHLOROPHENOL,0.0
Ada,16001,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0
Ada,16001,PROPYLENE OXIDE,0.0
Ada,16001,TETRACHLOROETHYLENE,0.0
Ada,16001,TRICHLOROETHYLENE,0.0
Ada,16001,VINYL CHLORIDE,0.0
Adams,16003,"1,1,2-TRICHLOROETHANE",0.0
Adams,16003,"1,3-BUTADIENE",7.116399520300002e-05
Adams,16003,"1,3-DICHLOROPROPENE",0.0
Adams,16003,"1,4-DICHLOROBENZENE",0.0
Adams,16003,"1,4-DIOXANE",0.0
Adams,16003,"2,4,6-TRICHLOROPHENOL",0.0
Adams,16003,"2,4-DINITROTOLUENE",0.0
Adams,16003,"2,4-TOLUENE DIISOCYANATE",0.0
Adams,16003,2-NITROPROPANE,0.0
Adams,16003,ACETALDEHYDE,3.9590657628e-05
Adams,16003,ACETAMIDE,0.0
Adams,16003,ACRYLONITRILE,0.0
Adams,16003,ALLYL CHLORIDE,0.0
Adams,16003,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Adams,16003,BENZENE,0.000460146385417
Adams,16003,BENZYL CHLORIDE,0.0
Adams,16003,BERYLLIUM COMPOUNDS,0.0
Adams,16003,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0
Adams,16003,BROMOFORM,0.0
Adams,16003,CADMIUM COMPOUNDS,0.0
Adams,16003,CARBON TETRACHLORIDE,0.0
Adams,16003,CHLOROPRENE,0.0
Adams,16003,CHROMIUM VI (HEXAVALENT),0.0
Adams,16003,EPICHLOROHYDRIN,0.0
Adams,16003,ETHYLBENZENE,1.2196989593000001e-05
Adams,16003,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.0
Adams,16003,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Adams,16003,ETHYLENE OXIDE,0.0
Adams,16003,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0
Adams,16003,FORMALDEHYDE,0.0009171934298680001
Adams,16003,HEXACHLOROBENZENE,0.0
Adams,16003,HEXACHLOROBUTADIENE,0.0
Adams,16003,METHYL TERT-BUTYL ETHER,0.0
Adams,16003,METHYLENE CHLORIDE,0.0
Adams,16003,NAPHTHALENE,0.000430873377349
Adams,16003,NICKEL COMPOUNDS,0.0
Adams,16003,NITROBENZENE,0.0
Adams,16003,O-TOLUIDINE,0.0
Adams,16003,PAHPOM,2.9152842437e-05
Adams,16003,PENTACHLOROPHENOL,0.0
Adams,16003,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0
Adams,16003,PROPYLENE OXIDE,0.0
Adams,16003,TETRACHLOROETHYLENE,0.0
Adams,16003,TRICHLOROETHYLENE,0.0
Adams,16003,VINYL CHLORIDE,0.0
Bannock,16005,"1,1,2-TRICHLOROETHANE",0.0
Bannock,16005,"1,3-BUTADIENE",0.000435315608953
Bannock,16005,"1,3-DICHLOROPROPENE",0.0
Bannock,16005,"1,4-DICHLOROBENZENE",0.0
Bannock,16005,"1,4-DIOXANE",0.0
Bannock,16005,"2,4,6-TRICHLOROPHENOL",0.0
Bannock,16005,"2,4-DINITROTOLUENE",0.0
Bannock,16005,"2,4-TOLUENE DIISOCYANATE",0.0
Bannock,16005,2-NITROPROPANE,0.0
Bannock,16005,ACETALDEHYDE,0.000525671759698
Bannock,16005,ACETAMIDE,0.0
Bannock,16005,ACRYLONITRILE,0.0
Bannock,16005,ALLYL CHLORIDE,0.0
Bannock,16005,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Bannock,16005,BENZENE,0.000870413240885
Bannock,16005,BENZYL CHLORIDE,0.0
Bannock,16005,BERYLLIUM COMPOUNDS,0.0
Bannock,16005,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0
Bannock,16005,BROMOFORM,0.0
Bannock,16005,CADMIUM COMPOUNDS,0.0
Bannock,16005,CARBON TETRACHLORIDE,0.0
Bannock,16005,CHLOROPRENE,0.0
Bannock,16005,CHROMIUM VI (HEXAVALENT),0.0
Bannock,16005,EPICHLOROHYDRIN,0.0
Bannock,16005,ETHYLBENZENE,5.6631410435e-05
Bannock,16005,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.0
Bannock,16005,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Bannock,16005,ETHYLENE OXIDE,0.0
Bannock,16005,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0
Bannock,16005,FORMALDEHYDE,0.007973024971285
Bannock,16005,HEXACHLOROBENZENE,0.0
Bannock,16005,HEXACHLOROBUTADIENE,0.0
Bannock,16005,METHYL TERT-BUTYL ETHER,0.0
Bannock,16005,METHYLENE CHLORIDE,0.0
Bannock,16005,NAPHTHALENE,0.0027289573626100004
Bannock,16005,NICKEL COMPOUNDS,0.0
Bannock,16005,NITROBENZENE,0.0
Bannock,16005,O-TOLUIDINE,0.0
Bannock,16005,PAHPOM,9.044291054400001e-05
Bannock,16005,PENTACHLOROPHENOL,0.0
Bannock,16005,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0
Bannock,16005,PROPYLENE OXIDE,0.0
Bannock,16005,TETRACHLOROETHYLENE,0.0
Bannock,16005,TRICHLOROETHYLENE,0.0
Bannock,16005,VINYL CHLORIDE,0.0
Bear Lake,16007,"1,1,2-TRICHLOROETHANE",0.0
Bear Lake,16007,"1,3-BUTADIENE",9.9685940703e-05
Bear Lake,16007,"1,3-DICHLOROPROPENE",0.0
Bear Lake,16007,"1,4-DICHLOROBENZENE",0.0
Bear Lake,16007,"1,4-DIOXANE",0.0
Bear Lake,16007,"2,4,6-TRICHLOROPHENOL",0.0
Bear Lake,16007,"2,4-DINITROTOLUENE",0.0
Bear Lake,16007,"2,4-TOLUENE DIISOCYANATE",0.0
Bear Lake,16007,2-NITROPROPANE,0.0
Bear Lake,16007,ACETALDEHYDE,0.000101988199886
Bear Lake,16007,ACETAMIDE,0.0
Bear Lake,16007,ACRYLONITRILE,0.0
Bear Lake,16007,ALLYL CHLORIDE,0.0
Bear Lake,16007,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Bear Lake,16007,BENZENE,0.00039659354504000005
Bear Lake,16007,BENZYL CHLORIDE,0.0
Bear Lake,16007,BERYLLIUM COMPOUNDS,0.0
Bear Lake,16007,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0
Bear Lake,16007,BROMOFORM,0.0
Bear Lake,16007,CADMIUM COMPOUNDS,0.0
Bear Lake,16007,CARBON TETRACHLORIDE,0.0
Bear Lake,16007,CHLOROPRENE,0.0
Bear Lake,16007,CHROMIUM VI (HEXAVALENT),0.0
Bear Lake,16007,EPICHLOROHYDRIN,0.0
Bear Lake,16007,ETHYLBENZENE,1.4301763812000001e-05
Bear Lake,16007,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.0
Bear Lake,16007,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Bear Lake,16007,ETHYLENE OXIDE,0.0
Bear Lake,16007,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0
Bear Lake,16007,FORMALDEHYDE,0.0015298161613020002
Bear Lake,16007,HEXACHLOROBENZENE,0.0
Bear Lake,16007,HEXACHLOROBUTADIENE,0.0
Bear Lake,16007,METHYL TERT-BUTYL ETHER,0.0
Bear Lake,16007,METHYLENE CHLORIDE,0.0
