county,fips,pollutant,val,population
Hawaii,15001,"1,1,2-TRICHLOROETHANE",0.0,185078
Hawaii,15001,"1,3-BUTADIENE",0.037853935692675,185078
Hawaii,15001,"1,4-DICHLOROBENZENE",0.0,185078
Hawaii,15001,"1,4-DIOXANE",0.0,185078
Hawaii,15001,"2,4,6-TRICHLOROPHENOL",0.0,185078
Hawaii,15001,"2,4-DINITROTOLUENE",0.0,185078
Hawaii,15001,"2,4-TOLUENE DIISOCYANATE",0.0,185078
Hawaii,15001,2-NITROPROPANE,0.0,185078
Hawaii,15001,ACETALDEHYDE,0.007420321694469,185078
Hawaii,15001,ACRYLONITRILE,0.0,185078
Hawaii,15001,ALLYL CHLORIDE,0.0,185078
Hawaii,15001,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.008219446304973,185078
Hawaii,15001,BENZENE,0.090406128003368,185078
Hawaii,15001,BENZYL CHLORIDE,0.0,185078
Hawaii,15001,BERYLLIUM COMPOUNDS,0.0,185078
Hawaii,15001,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0,185078
Hawaii,15001,CADMIUM COMPOUNDS,0.0,185078
Hawaii,15001,CARBON TETRACHLORIDE,0.0,185078
Hawaii,15001,CHLOROPRENE,0.0,185078
Hawaii,15001,CHROMIUM VI (HEXAVALENT),0.000119791900427,185078
Hawaii,15001,EPICHLOROHYDRIN,0.0,185078
Hawaii,15001,ETHYLBENZENE,0.018315052185691003,185078
Hawaii,15001,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0,185078
Hawaii,15001,ETHYLENE OXIDE,0.0,185078
Hawaii,15001,FORMALDEHYDE,0.05294017561734901,185078
Hawaii,15001,HEXACHLOROBENZENE,0.0,185078
Hawaii,15001,HEXACHLOROBUTADIENE,0.0,185078
Hawaii,15001,METHYL TERT-BUTYL ETHER,0.0,185078
Hawaii,15001,METHYLENE CHLORIDE,0.0,185078
Hawaii,15001,NAPHTHALENE,0.020868748943587,185078
Hawaii,15001,NICKEL COMPOUNDS,0.00059988572665,185078
Hawaii,15001,NITROBENZENE,0.0,185078
Hawaii,15001,O-TOLUIDINE,0.0,185078
Hawaii,15001,PAHPOM,0.007587601255859,185078
Hawaii,15001,PENTACHLOROPHENOL,0.0,185078
Hawaii,15001,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0,185078
Hawaii,15001,PROPYLENE OXIDE,0.0,185078
Hawaii,15001,TETRACHLOROETHYLENE,0.0,185078
Hawaii,15001,TRICHLOROETHYLENE,0.0,185078
