county,fips,pollutant,val,population
Bernalillo,35001,"1,1,2-TRICHLOROETHANE",0.0,662561
Bernalillo,35001,"1,3-BUTADIENE",0.16432201623966103,662561
Bernalillo,35001,"1,4-DICHLOROBENZENE",0.0,662561
Bernalillo,35001,"1,4-DIOXANE",0.0,662561
Bernalillo,35001,"2,4,6-TRICHLOROPHENOL",0.0,662561
Bernalillo,35001,"2,4-DINITROTOLUENE",0.0,662561
Bernalillo,35001,"2,4-TOLUENE DIISOCYANATE",0.0,662561
Bernalillo,35001,2-NITROPROPANE,0.0,662561
Bernalillo,35001,ACETALDEHYDE,0.029829367687875,662561
Bernalillo,35001,ACETAMIDE,0.0,662561
Bernalillo,35001,ACRYLONITRILE,0.0,662561
Bernalillo,35001,ALLYL CHLORIDE,0.0,662561
Bernalillo,35001,ANILINE,0.0,662561
Bernalillo,35001,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.03983295694561,662561
Bernalillo,35001,BENZENE,0.421778311974677,662561
Bernalillo,35001,BENZYL CHLORIDE,0.0,662561
Bernalillo,35001,BERYLLIUM COMPOUNDS,0.0,662561
Bernalillo,35001,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0,662561
Bernalillo,35001,BROMOFORM,0.0,662561
Bernalillo,35001,CADMIUM COMPOUNDS,0.0,662561
Bernalillo,35001,CARBON TETRACHLORIDE,0.0,662561
Bernalillo,35001,CHLOROPRENE,0.0,662561
Bernalillo,35001,CHROMIUM VI (HEXAVALENT),0.001887069849467,662561
Bernalillo,35001,EPICHLOROHYDRIN,0.0,662561
Bernalillo,35001,ETHYLBENZENE,0.06943736434230001,662561
Bernalillo,35001,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.0,662561
Bernalillo,35001,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0,662561
Bernalillo,35001,ETHYLENE OXIDE,0.0,662561
Bernalillo,35001,FORMALDEHYDE,0.203769368230988,662561
Bernalillo,35001,HEXACHLOROBENZENE,0.0,662561
Bernalillo,35001,HEXACHLOROBUTADIENE,0.0,662561
Bernalillo,35001,HYDRAZINE,0.0,662561
Bernalillo,35001,METHYL TERT-BUTYL ETHER,0.0,662561
Bernalillo,35001,METHYLENE CHLORIDE,0.0,662561
Bernalillo,35001,NAPHTHALENE,0.087597393008976,662561
Bernalillo,35001,NICKEL COMPOUNDS,0.004349448723756,662561
Bernalillo,35001,NITROBENZENE,0.0,662561
Bernalillo,35001,O-TOLUIDINE,0.0,662561
Bernalillo,35001,PAHPOM,0.006196321458930001,662561
Bernalillo,35001,PROPYLENE OXIDE,0.0,662561
Bernalillo,35001,TETRACHLOROETHYLENE,0.0,662561
Bernalillo,35001,TRICHLOROETHYLENE,0.0,662561
Bernalillo,35001,VINYL CHLORIDE,0.0,662561
Catron,35003,"1,1,2-TRICHLOROETHANE",0.0,3725
Catron,35003,"1,3-BUTADIENE",0.0006575310094199999,3725
Catron,35003,"1,3-DICHLOROPROPENE",0.0,3725
Catron,35003,"1,4-DICHLOROBENZENE",0.0,3725
Catron,35003,"1,4-DIOXANE",0.0,3725
Catron,35003,"2,4,6-TRICHLOROPHENOL",0.0,3725
Catron,35003,"2,4-DINITROTOLUENE",0.0,3725
Catron,35003,"2,4-TOLUENE DIISOCYANATE",0.0,3725
Catron,35003,2-NITROPROPANE,0.0,3725
