county,fips,pollutant,val
Aleutians East,2013,"1,3-BUTADIENE",1.528173876e-05
Aleutians East,2013,"1,4-DICHLOROBENZENE",0.0
Aleutians East,2013,"2,4,6-TRICHLOROPHENOL",0.0
Aleutians East,2013,ACETALDEHYDE,3.124507837e-06
Aleutians East,2013,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),2.5795657e-06
Aleutians East,2013,BENZENE,3.6426600007e-05
Aleutians East,2013,BERYLLIUM COMPOUNDS,0.0
Aleutians East,2013,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0
Aleutians East,2013,CADMIUM COMPOUNDS,0.0
Aleutians East,2013,CARBON TETRACHLORIDE,0.0
Aleutians East,2013,CHROMIUM VI (HEXAVALENT),3.7044000000000004e-08
Aleutians East,2013,ETHYLBENZENE,7.200393115e-06
Aleutians East,2013,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Aleutians East,2013,FORMALDEHYDE,2.2232127281e-05
Aleutians East,2013,HEXACHLOROBENZENE,0.0
Aleutians East,2013,METHYLENE CHLORIDE,0.0
Aleutians East,2013,NAPHTHALENE,8.722688678e-06
Aleutians East,2013,NICKEL COMPOUNDS,1.8226896e-07
Aleutians East,2013,PAHPOM,4.163616691e-06
Aleutians East,2013,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0
Aleutians East,2013,TETRACHLOROETHYLENE,0.0
Aleutians East,2013,TRICHLOROETHYLENE,0.0
Aleutians West,2016,"1,3-BUTADIENE",4.0449656999999995e-08
Aleutians West,2016,"1,4-DICHLOROBENZENE",0.0
Aleutians West,2016,"2,4,6-TRICHLOROPHENOL",0.0
Aleutians West,2016,ACETALDEHYDE,7.521078e-09
Aleutians West,2016,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),3.2209369999999997e-09
Aleutians West,2016,BENZENE,8.4184582e-08
Aleutians West,2016,BERYLLIUM COMPOUNDS,0.0
Aleutians West,2016,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0
Aleutians West,2016,CADMIUM COMPOUNDS,0.0
Aleutians West,2016,CARBON TETRACHLORIDE,0.0
Aleutians West,2016,CHROMIUM VI (HEXAVALENT),4.7215e-11
Aleutians West,2016,ETHYLBENZENE,1.6924793e-08
Aleutians West,2016,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Aleutians West,2016,FORMALDEHYDE,5.0211720999999994e-08
Aleutians West,2016,HEXACHLOROBENZENE,0.0
Aleutians West,2016,METHYLENE CHLORIDE,0.0
Aleutians West,2016,NAPHTHALENE,2.0243145e-08
Aleutians West,2016,NICKEL COMPOUNDS,2.31949e-10
Aleutians West,2016,PAHPOM,8.878136e-09
Aleutians West,2016,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0
Aleutians West,2016,TETRACHLOROETHYLENE,0.0
Aleutians West,2016,TRICHLOROETHYLENE,0.0
Anchorage,2020,"1,1,2-TRICHLOROETHANE",0.0
Anchorage,2020,"1,3-BUTADIENE",0.19429400504975897
Anchorage,2020,"1,3-DICHLOROPROPENE",0.0
Anchorage,2020,"1,4-DICHLOROBENZENE",0.0
Anchorage,2020,"2,4,6-TRICHLOROPHENOL",0.0
Anchorage,2020,ACETALDEHYDE,0.038621944099543996
Anchorage,2020,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.035715960391914
Anchorage,2020,BENZENE,0.45317297268214396
Anchorage,2020,BERYLLIUM COMPOUNDS,0.0
Anchorage,2020,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0
Anchorage,2020,CADMIUM COMPOUNDS,0.0
Anchorage,2020,CARBON TETRACHLORIDE,0.0
Anchorage,2020,CHROMIUM VI (HEXAVALENT),0.0005209285585959999
Anchorage,2020,ETHYLBENZENE,0.09155676162960799
Anchorage,2020,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.0
Anchorage,2020,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Anchorage,2020,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0
Anchorage,2020,FORMALDEHYDE,0.27301603630868104
Anchorage,2020,HEXACHLOROBENZENE,0.0
Anchorage,2020,METHYLENE CHLORIDE,0.0
Anchorage,2020,NAPHTHALENE,0.10722152635894501
Anchorage,2020,NICKEL COMPOUNDS,0.002602127089735
Anchorage,2020,PAHPOM,0.062214778729504996
Anchorage,2020,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0
Anchorage,2020,TETRACHLOROETHYLENE,0.0
Anchorage,2020,TRICHLOROETHYLENE,0.0
Anchorage,2020,VINYL CHLORIDE,0.0
Bethel,2050,"1,3-BUTADIENE",0.00037122945281300003
Bethel,2050,"1,4-DICHLOROBENZENE",0.0
Bethel,2050,"2,4,6-TRICHLOROPHENOL",0.0
Bethel,2050,ACETALDEHYDE,7.280093620800001e-05
Bethel,2050,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),5.159864633300001e-05
Bethel,2050,BENZENE,0.000853946088344
Bethel,2050,BERYLLIUM COMPOUNDS,0.0
Bethel,2050,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0
