county,fips,pollutant,val
Arkansas,5001,"1,1,2-TRICHLOROETHANE",0.0
Arkansas,5001,"1,3-BUTADIENE",0.021169178573163003
Arkansas,5001,"1,3-DICHLOROPROPENE",0.0
Arkansas,5001,"1,4-DICHLOROBENZENE",0.0
Arkansas,5001,"1,4-DIOXANE",0.0
Arkansas,5001,"2,4,6-TRICHLOROPHENOL",0.0
Arkansas,5001,"2,4-DINITROTOLUENE",0.0
Arkansas,5001,"2,4-TOLUENE DIISOCYANATE",0.0
Arkansas,5001,2-NITROPROPANE,0.0
Arkansas,5001,ACETALDEHYDE,0.00387709465142
Arkansas,5001,ACETAMIDE,0.0
Arkansas,5001,ACRYLONITRILE,0.0
Arkansas,5001,ALLYL CHLORIDE,0.0
Arkansas,5001,ANILINE,0.0
Arkansas,5001,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.019627262332495
Arkansas,5001,BENZENE,0.240669605803814
Arkansas,5001,BENZYL CHLORIDE,0.0
Arkansas,5001,BERYLLIUM COMPOUNDS,0.0
Arkansas,5001,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0
Arkansas,5001,BROMOFORM,0.0
Arkansas,5001,CADMIUM COMPOUNDS,0.0
Arkansas,5001,CARBON TETRACHLORIDE,0.0
Arkansas,5001,CHLOROPRENE,0.0
Arkansas,5001,CHROMIUM VI (HEXAVALENT),0.001561419688591
Arkansas,5001,EPICHLOROHYDRIN,0.0
Arkansas,5001,ETHYLBENZENE,0.013479031517516
Arkansas,5001,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.0
Arkansas,5001,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Arkansas,5001,ETHYLENE OXIDE,0.0
Arkansas,5001,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0
Arkansas,5001,FORMALDEHYDE,0.021901119202658
Arkansas,5001,HEXACHLOROBENZENE,0.0
Arkansas,5001,HEXACHLOROBUTADIENE,0.0
Arkansas,5001,METHYL TERT-BUTYL ETHER,0.0
Arkansas,5001,METHYLENE CHLORIDE,0.0
Arkansas,5001,NAPHTHALENE,0.016522926827782
Arkansas,5001,NICKEL COMPOUNDS,0.001775839353508
Arkansas,5001,NITROBENZENE,0.0
Arkansas,5001,O-TOLUIDINE,0.0
Arkansas,5001,PAHPOM,0.002072823257159
Arkansas,5001,PENTACHLOROPHENOL,0.0
Arkansas,5001,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0
Arkansas,5001,PROPYLENE OXIDE,0.0
Arkansas,5001,TETRACHLOROETHYLENE,0.0
Arkansas,5001,TRICHLOROETHYLENE,0.0
Arkansas,5001,VINYL CHLORIDE,0.0
Ashley,5003,"1,1,2-TRICHLOROETHANE",0.0
Ashley,5003,"1,3-BUTADIENE",0.016051038748943
Ashley,5003,"1,3-DICHLOROPROPENE",0.0
Ashley,5003,"1,4-DICHLOROBENZENE",0.0
Ashley,5003,"1,4-DIOXANE",0.0
Ashley,5003,"2,4,6-TRICHLOROPHENOL",0.0
Ashley,5003,"2,4-DINITROTOLUENE",0.0
Ashley,5003,"2,4-TOLUENE DIISOCYANATE",0.0
Ashley,5003,2-NITROPROPANE,0.0
Ashley,5003,ACETALDEHYDE,0.002176146820861
Ashley,5003,ACETAMIDE,0.0
Ashley,5003,ACRYLAMIDE,0.0
Ashley,5003,ACRYLONITRILE,0.0
Ashley,5003,ALLYL CHLORIDE,0.0
Ashley,5003,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.013236533321885001
Ashley,5003,BENZENE,0.20400157594873602
Ashley,5003,BENZYL CHLORIDE,0.0
Ashley,5003,BERYLLIUM COMPOUNDS,0.0
Ashley,5003,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0
Ashley,5003,BROMOFORM,0.0
Ashley,5003,CADMIUM COMPOUNDS,0.0
Ashley,5003,CARBON TETRACHLORIDE,0.0
Ashley,5003,CHLOROPRENE,0.0
Ashley,5003,CHROMIUM VI (HEXAVALENT),0.0006817572147080001
Ashley,5003,EPICHLOROHYDRIN,0.0
Ashley,5003,ETHYLBENZENE,0.012792287288725002
Ashley,5003,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.0
Ashley,5003,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Ashley,5003,ETHYLENE OXIDE,0.0
Ashley,5003,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0
Ashley,5003,FORMALDEHYDE,0.015904511075713997
Ashley,5003,HEXACHLOROBENZENE,0.0
Ashley,5003,HEXACHLOROBUTADIENE,0.0
Ashley,5003,METHYL TERT-BUTYL ETHER,0.0
Ashley,5003,METHYLENE CHLORIDE,0.0
Ashley,5003,NAPHTHALENE,0.013721203684767
Ashley,5003,NICKEL COMPOUNDS,0.002203794165388
Ashley,5003,NITROBENZENE,0.0
Ashley,5003,O-TOLUIDINE,0.0
Ashley,5003,PAHPOM,0.0017650908439539998
Ashley,5003,PENTACHLOROPHENOL,0.0
Ashley,5003,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0
Ashley,5003,PROPYLENE OXIDE,0.0
Ashley,5003,TETRACHLOROETHYLENE,0.0
Ashley,5003,TRICHLOROETHYLENE,0.0
Ashley,5003,VINYL CHLORIDE,0.0
Baxter,5005,"1,1,2-TRICHLOROETHANE",0.0
Baxter,5005,"1,3-BUTADIENE",0.029040417860665
Baxter,5005,"1,3-DICHLOROPROPENE",0.0
