county,fips,pollutant,val
Baker,41001,"1,1,2-TRICHLOROETHANE",0.0
Baker,41001,"1,3-BUTADIENE",0.003944294629088
Baker,41001,"1,3-DICHLOROPROPENE",0.0
Baker,41001,"1,4-DICHLOROBENZENE",0.0
Baker,41001,"1,4-DIOXANE",0.0
Baker,41001,"2,4,6-TRICHLOROPHENOL",0.0
Baker,41001,"2,4-DINITROTOLUENE",0.0
Baker,41001,"2,4-TOLUENE DIISOCYANATE",0.0
Baker,41001,2-NITROPROPANE,0.0
Baker,41001,ACETALDEHYDE,0.0028755591107090003
Baker,41001,ACETAMIDE,0.0
Baker,41001,ACRYLONITRILE,0.0
Baker,41001,ALLYL CHLORIDE,0.0
Baker,41001,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0015101220571560002
Baker,41001,BENZENE,0.009312014970955998
Baker,41001,BENZYL CHLORIDE,0.0
Baker,41001,BERYLLIUM COMPOUNDS,0.0
Baker,41001,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0
Baker,41001,BROMOFORM,0.0
Baker,41001,CADMIUM COMPOUNDS,0.0
Baker,41001,CARBON TETRACHLORIDE,0.0
Baker,41001,CHLOROPRENE,0.0
Baker,41001,CHROMIUM VI (HEXAVALENT),0.00010970644788899999
Baker,41001,EPICHLOROHYDRIN,0.0
Baker,41001,ETHYLBENZENE,0.00037602757821499994
Baker,41001,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.0
Baker,41001,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Baker,41001,ETHYLENE OXIDE,0.0
Baker,41001,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0
Baker,41001,FORMALDEHYDE,0.038337981144682995
Baker,41001,HEXACHLOROBENZENE,0.0
Baker,41001,HEXACHLOROBUTADIENE,0.0
Baker,41001,METHYL TERT-BUTYL ETHER,0.0
Baker,41001,METHYLENE CHLORIDE,0.0
Baker,41001,NAPHTHALENE,0.017266418536499
Baker,41001,NICKEL COMPOUNDS,0.0012674349307410001
Baker,41001,NITROBENZENE,0.0
Baker,41001,O-TOLUIDINE,0.0
Baker,41001,PAHPOM,0.000771260675427
Baker,41001,PENTACHLOROPHENOL,0.0
Baker,41001,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0
Baker,41001,PROPYLENE OXIDE,0.0
Baker,41001,TETRACHLOROETHYLENE,0.0
Baker,41001,TRICHLOROETHYLENE,0.0
Baker,41001,VINYL CHLORIDE,0.0
Benton,41003,"1,1,2-TRICHLOROETHANE",0.0
Benton,41003,"1,3-BUTADIENE",0.00736584186382
Benton,41003,"1,4-DICHLOROBENZENE",0.0
Benton,41003,"1,4-DIOXANE",0.0
Benton,41003,"2,4,6-TRICHLOROPHENOL",0.0
Benton,41003,"2,4-DINITROTOLUENE",0.0
Benton,41003,"2,4-TOLUENE DIISOCYANATE",0.0
Benton,41003,2-NITROPROPANE,0.0
Benton,41003,ACETALDEHYDE,0.005781179798291999
Benton,41003,ACETAMIDE,0.0
Benton,41003,ACRYLONITRILE,0.0
Benton,41003,ALLYL CHLORIDE,0.0
Benton,41003,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0012867282214379999
Benton,41003,BENZENE,0.0102790180799
Benton,41003,BENZYL CHLORIDE,0.0
Benton,41003,BERYLLIUM COMPOUNDS,0.0
Benton,41003,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0
Benton,41003,BROMOFORM,0.0
Benton,41003,CADMIUM COMPOUNDS,0.0
Benton,41003,CARBON TETRACHLORIDE,0.0
Benton,41003,CHLOROPRENE,0.0
Benton,41003,CHROMIUM VI (HEXAVALENT),0.00025698411114900003
Benton,41003,EPICHLOROHYDRIN,0.0
Benton,41003,ETHYLBENZENE,0.000709108315488
Benton,41003,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.0
Benton,41003,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Benton,41003,ETHYLENE OXIDE,0.0
Benton,41003,FORMALDEHYDE,0.069111870243115
Benton,41003,HEXACHLOROBENZENE,0.0
Benton,41003,HEXACHLOROBUTADIENE,0.0
Benton,41003,METHYL TERT-BUTYL ETHER,0.0
Benton,41003,METHYLENE CHLORIDE,0.0
Benton,41003,NAPHTHALENE,0.034734531404224
Benton,41003,NICKEL COMPOUNDS,0.0014489410981120003
Benton,41003,NITROBENZENE,0.0
Benton,41003,O-TOLUIDINE,0.0
Benton,41003,PAHPOM,0.0011711285482519998
Benton,41003,PENTACHLOROPHENOL,0.0
Benton,41003,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0
Benton,41003,PROPYLENE OXIDE,0.0
Benton,41003,TETRACHLOROETHYLENE,0.0
Benton,41003,TRICHLOROETHYLENE,0.0
Benton,41003,VINYL CHLORIDE,0.0
Clackamas,41005,"1,1,2-TRICHLOROETHANE",0.0
Clackamas,41005,"1,3-BUTADIENE",0.013819929882793
Clackamas,41005,"1,4-DICHLOROBENZENE",0.0
Clackamas,41005,"1,4-DIOXANE",0.0
Clackamas,41005,"2,4,6-TRICHLOROPHENOL",0.0
Clackamas,41005,"2,4-DINITROTOLUENE",0.0
Clackamas,41005,"2,4-TOLUENE DIISOCYANATE",0.0
Clackamas,41005,2-NITROPROPANE,0.0
Clackamas,41005,ACETALDEHYDE,0.011985804839381999
Clackamas,41005,ACETAMIDE,0.0
Clackamas,41005,ACRYLONITRILE,0.0
Clackamas,41005,ALLYL CHLORIDE,0.0
Clackamas,41005,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0015688065302470002
Clackamas,41005,BENZENE,0.014045063618882001
Clackamas,41005,BENZYL CHLORIDE,0.0
Clackamas,41005,BERYLLIUM COMPOUNDS,0.0
Clackamas,41005,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0
Clackamas,41005,BROMOFORM,0.0
Clackamas,41005,CADMIUM COMPOUNDS,0.0
Clackamas,41005,CARBON TETRACHLORIDE,0.0
Clackamas,41005,CHLOROPRENE,0.0
Clackamas,41005,CHROMIUM VI (HEXAVALENT),4.7837535786999995e-05
Clackamas,41005,EPICHLOROHYDRIN,0.0
Clackamas,41005,ETHYLBENZENE,0.001173895501841
Clackamas,41005,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.0
Clackamas,41005,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Clackamas,41005,ETHYLENE OXIDE,0.0
Clackamas,41005,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0
Clackamas,41005,FORMALDEHYDE,0.13678606912053198
Clackamas,41005,HEXACHLOROBENZENE,0.0
Clackamas,41005,HEXACHLOROBUTADIENE,0.0
Clackamas,41005,METHYL TERT-BUTYL ETHER,0.0
Clackamas,41005,METHYLENE CHLORIDE,0.0
Clackamas,41005,NAPHTHALENE,0.055670839105562996
Clackamas,41005,NICKEL COMPOUNDS,0.001016281773963
Clackamas,41005,NITROBENZENE,0.0
Clackamas,41005,O-TOLUIDINE,0.0
Clackamas,41005,PAHPOM,0.0018800395303679998
Clackamas,41005,PENTACHLOROPHENOL,0.0
Clackamas,41005,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0
Clackamas,41005,PROPYLENE OXIDE,0.0
Clackamas,41005,TETRACHLOROETHYLENE,0.0
Clackamas,41005,TRICHLOROETHYLENE,0.0
Clackamas,41005,VINYL CHLORIDE,0.0
Clatsop,41007,"1,1,2-TRICHLOROETHANE",0.0
Clatsop,41007,"1,3-BUTADIENE",0.002431377478507
Clatsop,41007,"1,3-DICHLOROPROPENE",0.0
Clatsop,41007,"1,4-DICHLOROBENZENE",0.0
Clatsop,41007,"1,4-DIOXANE",0.0
Clatsop,41007,"2,4,6-TRICHLOROPHENOL",0.0
Clatsop,41007,"2,4-DINITROTOLUENE",0.0
Clatsop,41007,"2,4-TOLUENE DIISOCYANATE",0.0
Clatsop,41007,2-NITROPROPANE,0.0
Clatsop,41007,ACETALDEHYDE,0.0023931392192339997
Clatsop,41007,ACETAMIDE,0.0
Clatsop,41007,ACRYLAMIDE,0.0
Clatsop,41007,ACRYLONITRILE,0.0
Clatsop,41007,ALLYL CHLORIDE,0.0
Clatsop,41007,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.00040939732900399997
Clatsop,41007,BENZENE,0.006413646954809
Clatsop,41007,BENZYL CHLORIDE,0.0
Clatsop,41007,BERYLLIUM COMPOUNDS,0.0
Clatsop,41007,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0
Clatsop,41007,BROMOFORM,0.0
Clatsop,41007,CADMIUM COMPOUNDS,0.0
Clatsop,41007,CARBON TETRACHLORIDE,0.0
Clatsop,41007,CHLOROPRENE,0.0
Clatsop,41007,CHROMIUM VI (HEXAVALENT),1.1983691916e-05
Clatsop,41007,EPICHLOROHYDRIN,0.0
Clatsop,41007,ETHYLBENZENE,0.000244970875454
Clatsop,41007,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.0
Clatsop,41007,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Clatsop,41007,ETHYLENE OXIDE,0.0
Clatsop,41007,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0
Clatsop,41007,FORMALDEHYDE,0.025068174490388
Clatsop,41007,HEXACHLOROBENZENE,0.0
Clatsop,41007,HEXACHLOROBUTADIENE,0.0
Clatsop,41007,METHYL TERT-BUTYL ETHER,0.0
Clatsop,41007,METHYLENE CHLORIDE,0.0
Clatsop,41007,NAPHTHALENE,0.012956894593505
Clatsop,41007,NICKEL COMPOUNDS,0.00011640504154799999
Clatsop,41007,NITROBENZENE,0.0
Clatsop,41007,O-TOLUIDINE,0.0
Clatsop,41007,PAHPOM,0.00047562169608299996
Clatsop,41007,PENTACHLOROPHENOL,0.0
Clatsop,41007,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0
Clatsop,41007,PROPYLENE OXIDE,0.0
Clatsop,41007,TETRACHLOROETHYLENE,0.0
Clatsop,41007,TRICHLOROETHYLENE,0.0
Clatsop,41007,VINYL CHLORIDE,0.0
Columbia,41009,"1,1,2-TRICHLOROETHANE",0.0
Columbia,41009,"1,3-BUTADIENE",0.005453819491777001
Columbia,41009,"1,3-DICHLOROPROPENE",0.0
Columbia,41009,"1,4-DICHLOROBENZENE",0.0
Columbia,41009,"1,4-DIOXANE",0.0
Columbia,41009,"2,4,6-TRICHLOROPHENOL",0.0
Columbia,41009,"2,4-DINITROTOLUENE",0.0
Columbia,41009,"2,4-TOLUENE DIISOCYANATE",0.0
Columbia,41009,2-NITROPROPANE,0.0
Columbia,41009,ACETALDEHYDE,0.004288939406428
Columbia,41009,ACETAMIDE,0.0
Columbia,41009,ACRYLAMIDE,0.0
Columbia,41009,ACRYLONITRILE,0.0
Columbia,41009,ALLYL CHLORIDE,0.0
Columbia,41009,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0008752940871260001
Columbia,41009,BENZENE,0.0074553518040950005
Columbia,41009,BENZYL CHLORIDE,0.0
Columbia,41009,BERYLLIUM COMPOUNDS,0.0
Columbia,41009,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0
Columbia,41009,BROMOFORM,0.0
Columbia,41009,CADMIUM COMPOUNDS,0.0
Columbia,41009,CARBON TETRACHLORIDE,0.0
Columbia,41009,CHLOROPRENE,0.0
Columbia,41009,CHROMIUM VI (HEXAVALENT),3.1950450683000004e-05
Columbia,41009,EPICHLOROHYDRIN,0.0
Columbia,41009,ETHYLBENZENE,0.000564400352197
Columbia,41009,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.0
Columbia,41009,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Columbia,41009,ETHYLENE OXIDE,0.0
Columbia,41009,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0
Columbia,41009,FORMALDEHYDE,0.043382445822911
Columbia,41009,HEXACHLOROBENZENE,0.0
Columbia,41009,HEXACHLOROBUTADIENE,0.0
Columbia,41009,METHYL TERT-BUTYL ETHER,0.0
Columbia,41009,METHYLENE CHLORIDE,0.0
Columbia,41009,NAPHTHALENE,0.024393569099348002
Columbia,41009,NICKEL COMPOUNDS,0.000450561315504
Columbia,41009,NITROBENZENE,0.0
Columbia,41009,O-TOLUIDINE,0.0
Columbia,41009,PAHPOM,0.0007922369407860001
Columbia,41009,PENTACHLOROPHENOL,0.0
Columbia,41009,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0
Columbia,41009,PROPYLENE OXIDE,0.0
Columbia,41009,TETRACHLOROETHYLENE,0.0
Columbia,41009,TRICHLOROETHYLENE,0.0
Columbia,41009,VINYL CHLORIDE,0.0
Coos,41011,"1,1,2-TRICHLOROETHANE",0.0
Coos,41011,"1,3-BUTADIENE",0.0035399344667790002
Coos,41011,"1,4-DICHLOROBENZENE",0.0
Coos,41011,"1,4-DIOXANE",0.0
Coos,41011,"2,4,6-TRICHLOROPHENOL",0.0
Coos,41011,"2,4-DINITROTOLUENE",0.0
Coos,41011,"2,4-TOLUENE DIISOCYANATE",0.0
Coos,41011,2-NITROPROPANE,0.0
Coos,41011,ACETALDEHYDE,0.0031340226160020005
Coos,41011,ACETAMIDE,0.0
Coos,41011,ACRYLONITRILE,0.0
Coos,41011,ALLYL CHLORIDE,0.0
Coos,41011,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.000824638711987
Coos,41011,BENZENE,0.007074718822768001
Coos,41011,BENZYL CHLORIDE,0.0
Coos,41011,BERYLLIUM COMPOUNDS,0.0
Coos,41011,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0
Coos,41011,BROMOFORM,0.0
Coos,41011,CADMIUM COMPOUNDS,0.0
Coos,41011,CARBON TETRACHLORIDE,0.0
Coos,41011,CHLOROPRENE,0.0
Coos,41011,CHROMIUM VI (HEXAVALENT),5.1234010181e-05
Coos,41011,EPICHLOROHYDRIN,0.0
Coos,41011,ETHYLBENZENE,0.000340532052097
Coos,41011,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.0
Coos,41011,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Coos,41011,ETHYLENE OXIDE,0.0
Coos,41011,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0
Coos,41011,FORMALDEHYDE,0.034606160890648
Coos,41011,HEXACHLOROBENZENE,0.0
Coos,41011,HEXACHLOROBUTADIENE,0.0
Coos,41011,METHYL TERT-BUTYL ETHER,0.0
Coos,41011,METHYLENE CHLORIDE,0.0
Coos,41011,NAPHTHALENE,0.016290135599065003
Coos,41011,NICKEL COMPOUNDS,0.000613965511259
Coos,41011,NITROBENZENE,0.0
Coos,41011,O-TOLUIDINE,0.0
Coos,41011,PAHPOM,0.0006260098333960001
Coos,41011,PENTACHLOROPHENOL,0.0
Coos,41011,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0
Coos,41011,PROPYLENE OXIDE,0.0
Coos,41011,TETRACHLOROETHYLENE,0.0
Coos,41011,TRICHLOROETHYLENE,0.0
Coos,41011,VINYL CHLORIDE,0.0
Crook,41013,"1,1,2-TRICHLOROETHANE",0.0
Crook,41013,"1,3-BUTADIENE",0.004514834703623
Crook,41013,"1,4-DICHLOROBENZENE",0.0
Crook,41013,"1,4-DIOXANE",0.0
Crook,41013,"2,4,6-TRICHLOROPHENOL",0.0
Crook,41013,"2,4-DINITROTOLUENE",0.0
Crook,41013,"2,4-TOLUENE DIISOCYANATE",0.0
Crook,41013,2-NITROPROPANE,0.0
Crook,41013,ACETALDEHYDE,0.003009895367991
Crook,41013,ACETAMIDE,0.0
Crook,41013,ACRYLONITRILE,0.0
Crook,41013,ALLYL CHLORIDE,0.0
Crook,41013,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0009671637275750001
Crook,41013,BENZENE,0.007818867527362
Crook,41013,BENZYL CHLORIDE,0.0
Crook,41013,BERYLLIUM COMPOUNDS,0.0
Crook,41013,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0
Crook,41013,BROMOFORM,0.0
Crook,41013,CADMIUM COMPOUNDS,0.0
Crook,41013,CARBON TETRACHLORIDE,0.0
Crook,41013,CHLOROPRENE,0.0
Crook,41013,CHROMIUM VI (HEXAVALENT),0.000254815334483
Crook,41013,EPICHLOROHYDRIN,0.0
Crook,41013,ETHYLBENZENE,0.000417109675249
Crook,41013,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.0
Crook,41013,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Crook,41013,ETHYLENE OXIDE,0.0
Crook,41013,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0
Crook,41013,FORMALDEHYDE,0.039809476489702005
Crook,41013,HEXACHLOROBENZENE,0.0
Crook,41013,HEXACHLOROBUTADIENE,0.0
Crook,41013,METHYL TERT-BUTYL ETHER,0.0
Crook,41013,METHYLENE CHLORIDE,0.0
Crook,41013,NAPHTHALENE,0.018226210498727
Crook,41013,NICKEL COMPOUNDS,0.000935268764141
Crook,41013,NITROBENZENE,0.0
Crook,41013,O-TOLUIDINE,0.0
Crook,41013,PAHPOM,0.0007481992305289999
Crook,41013,PROPYLENE OXIDE,0.0
Crook,41013,TETRACHLOROETHYLENE,0.0
Crook,41013,TRICHLOROETHYLENE,0.0
Crook,41013,VINYL CHLORIDE,0.0
Curry,41015,"1,1,2-TRICHLOROETHANE",0.0
Curry,41015,"1,3-BUTADIENE",0.002609211360908
Curry,41015,"1,3-DICHLOROPROPENE",0.0
Curry,41015,"1,4-DICHLOROBENZENE",0.0
Curry,41015,"1,4-DIOXANE",0.0
Curry,41015,"2,4,6-TRICHLOROPHENOL",0.0
Curry,41015,"2,4-DINITROTOLUENE",0.0
Curry,41015,"2,4-TOLUENE DIISOCYANATE",0.0
Curry,41015,2-NITROPROPANE,0.0
Curry,41015,ACETALDEHYDE,0.002214423407516
Curry,41015,ACETAMIDE,0.0
Curry,41015,ACRYLONITRILE,0.0
Curry,41015,ALLYL CHLORIDE,0.0
Curry,41015,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0008258922173989999
Curry,41015,BENZENE,0.008617564632907
Curry,41015,BENZYL CHLORIDE,0.0
Curry,41015,BERYLLIUM COMPOUNDS,0.0
Curry,41015,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0
Curry,41015,BROMOFORM,0.0
Curry,41015,CADMIUM COMPOUNDS,0.0
Curry,41015,CARBON TETRACHLORIDE,0.0
Curry,41015,CHLOROPRENE,0.0
Curry,41015,CHROMIUM VI (HEXAVALENT),2.1138603420000006e-05
Curry,41015,EPICHLOROHYDRIN,0.0
Curry,41015,ETHYLBENZENE,0.00028870048140900004
Curry,41015,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.0
Curry,41015,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Curry,41015,ETHYLENE OXIDE,0.0
Curry,41015,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0
Curry,41015,FORMALDEHYDE,0.034334062719857006
Curry,41015,HEXACHLOROBENZENE,0.0
Curry,41015,HEXACHLOROBUTADIENE,0.0
Curry,41015,METHYL TERT-BUTYL ETHER,0.0
Curry,41015,METHYLENE CHLORIDE,0.0
Curry,41015,NAPHTHALENE,0.014410564204334
Curry,41015,NICKEL COMPOUNDS,0.001189712573732
Curry,41015,NITROBENZENE,0.0
Curry,41015,O-TOLUIDINE,0.0
Curry,41015,PAHPOM,0.000749848061782
Curry,41015,PENTACHLOROPHENOL,0.0
Curry,41015,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0
Curry,41015,PROPYLENE OXIDE,0.0
Curry,41015,TETRACHLOROETHYLENE,0.0
Curry,41015,TRICHLOROETHYLENE,0.0
Curry,41015,VINYL CHLORIDE,0.0
Deschutes,41017,"1,1,2-TRICHLOROETHANE",0.0
Deschutes,41017,"1,3-BUTADIENE",0.008686963594102
Deschutes,41017,"1,4-DICHLOROBENZENE",0.0
Deschutes,41017,"1,4-DIOXANE",0.0
Deschutes,41017,"2,4,6-TRICHLOROPHENOL",0.0
Deschutes,41017,"2,4-DINITROTOLUENE",0.0
Deschutes,41017,"2,4-TOLUENE DIISOCYANATE",0.0
Deschutes,41017,2-NITROPROPANE,0.0
Deschutes,41017,ACETALDEHYDE,0.00704755115094
Deschutes,41017,ACETAMIDE,0.0
Deschutes,41017,ACRYLONITRILE,0.0
Deschutes,41017,ALLYL CHLORIDE,0.0
Deschutes,41017,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0013068922045029999
Deschutes,41017,BENZENE,0.009712556435654
Deschutes,41017,BENZYL CHLORIDE,0.0
Deschutes,41017,BERYLLIUM COMPOUNDS,0.0
Deschutes,41017,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0
Deschutes,41017,BROMOFORM,0.0
Deschutes,41017,CADMIUM COMPOUNDS,0.0
Deschutes,41017,CARBON TETRACHLORIDE,0.0
Deschutes,41017,CHLOROPRENE,0.0
Deschutes,41017,CHROMIUM VI (HEXAVALENT),0.00023695980854700004
Deschutes,41017,EPICHLOROHYDRIN,0.0
Deschutes,41017,ETHYLBENZENE,0.000711563217264
Deschutes,41017,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.0
Deschutes,41017,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Deschutes,41017,ETHYLENE OXIDE,0.0
Deschutes,41017,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0
Deschutes,41017,FORMALDEHYDE,0.09088460297441099
Deschutes,41017,HEXACHLOROBENZENE,0.0
Deschutes,41017,HEXACHLOROBUTADIENE,0.0
Deschutes,41017,METHYL TERT-BUTYL ETHER,0.0
