county,fips,pollutant,val,population
St. Croix,78010,"1,1,2-TRICHLOROETHANE",0.0,50601
St. Croix,78010,"1,3-BUTADIENE",0.003100661455634,50601
St. Croix,78010,"1,4-DICHLOROBENZENE",0.0,50601
St. Croix,78010,"1,4-DIOXANE",0.0,50601
St. Croix,78010,"2,4,6-TRICHLOROPHENOL",0.0,50601
St. Croix,78010,"2,4-DINITROTOLUENE",0.0,50601
St. Croix,78010,"2,4-TOLUENE DIISOCYANATE",0.0,50601
St. Croix,78010,2-NITROPROPANE,0.0,50601
St. Croix,78010,ACETALDEHYDE,0.003003268954428,50601
St. Croix,78010,ACRYLONITRILE,0.0,50601
St. Croix,78010,ALLYL CHLORIDE,0.0,50601
St. Croix,78010,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.00039745507366800004,50601
St. Croix,78010,BENZENE,0.0022988368117160003,50601
St. Croix,78010,BENZYL CHLORIDE,0.0,50601
St. Croix,78010,BERYLLIUM COMPOUNDS,0.0,50601
St. Croix,78010,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0,50601
St. Croix,78010,CADMIUM COMPOUNDS,0.0,50601
St. Croix,78010,CARBON TETRACHLORIDE,0.0,50601
St. Croix,78010,CHLOROPRENE,0.0,50601
St. Croix,78010,CHROMIUM VI (HEXAVALENT),5.663570965999999e-06,50601
St. Croix,78010,EPICHLOROHYDRIN,0.0,50601
St. Croix,78010,ETHYLBENZENE,0.000261629572666,50601
St. Croix,78010,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0,50601
St. Croix,78010,ETHYLENE OXIDE,0.0,50601
St. Croix,78010,FORMALDEHYDE,0.04119069944549399,50601
St. Croix,78010,HEXACHLOROBENZENE,0.0,50601
St. Croix,78010,HEXACHLOROBUTADIENE,0.0,50601
St. Croix,78010,METHYL TERT-BUTYL ETHER,0.0,50601
St. Croix,78010,METHYLENE CHLORIDE,0.0,50601
St. Croix,78010,NAPHTHALENE,0.011684372729794,50601
St. Croix,78010,NICKEL COMPOUNDS,0.000120653049204,50601
St. Croix,78010,NITROBENZENE,0.0,50601
St. Croix,78010,O-TOLUIDINE,0.0,50601
St. Croix,78010,PAHPOM,0.004473529274337,50601
St. Croix,78010,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0,50601
St. Croix,78010,PROPYLENE OXIDE,0.0,50601
St. Croix,78010,TETRACHLOROETHYLENE,0.0,50601
St. Croix,78010,TRICHLOROETHYLENE,0.0,50601
St. Croix,78010,VINYL CHLORIDE,0.0,50601
St. John,78020,"1,1,2-TRICHLOROETHANE",0.0,4170
St. John,78020,"1,3-BUTADIENE",0.0007230602249780001,4170
St. John,78020,"1,4-DICHLOROBENZENE",0.0,4170
St. John,78020,"1,4-DIOXANE",0.0,4170
St. John,78020,"2,4,6-TRICHLOROPHENOL",0.0,4170
St. John,78020,"2,4-DINITROTOLUENE",0.0,4170
St. John,78020,"2,4-TOLUENE DIISOCYANATE",0.0,4170
St. John,78020,2-NITROPROPANE,0.0,4170
St. John,78020,ACETALDEHYDE,0.0006805321612150001,4170
St. John,78020,ACRYLONITRILE,0.0,4170
St. John,78020,ALLYL CHLORIDE,0.0,4170
St. John,78020,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),9.1356170279e-05,4170
St. John,78020,BENZENE,0.000519570247592,4170
St. John,78020,BENZYL CHLORIDE,0.0,4170
St. John,78020,BERYLLIUM COMPOUNDS,0.0,4170
St. John,78020,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0,4170
St. John,78020,CADMIUM COMPOUNDS,0.0,4170
St. John,78020,CARBON TETRACHLORIDE,0.0,4170
St. John,78020,CHLOROPRENE,0.0,4170
St. John,78020,CHROMIUM VI (HEXAVALENT),1.30627023e-06,4170
St. John,78020,EPICHLOROHYDRIN,0.0,4170
St. John,78020,ETHYLBENZENE,5.9161426549e-05,4170
St. John,78020,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0,4170
St. John,78020,ETHYLENE OXIDE,0.0,4170
St. John,78020,FORMALDEHYDE,0.009315143682523999,4170
St. John,78020,HEXACHLOROBENZENE,0.0,4170
St. John,78020,HEXACHLOROBUTADIENE,0.0,4170
St. John,78020,METHYL TERT-BUTYL ETHER,0.0,4170
