county,fips,pollutant,val
Appling,13001,"1,1,2-TRICHLOROETHANE",2.674339e-08
Appling,13001,"1,3-BUTADIENE",0.28458255097665003
Appling,13001,"1,4-DICHLOROBENZENE",0.0017493310799060002
Appling,13001,"1,4-DIOXANE",9.175794361999999e-06
Appling,13001,"2,4,6-TRICHLOROPHENOL",2.5393433030000005e-06
Appling,13001,"2,4-DINITROTOLUENE",4.529458256e-06
Appling,13001,"2,4-TOLUENE DIISOCYANATE",3.2208354056e-05
Appling,13001,2-NITROPROPANE,2.338657e-09
Appling,13001,ACETALDEHYDE,4.648941733613029
Appling,13001,ACETAMIDE,0.009567123332526
Appling,13001,ACRYLONITRILE,0.007589131172019
Appling,13001,ALLYL CHLORIDE,1.66443474e-07
Appling,13001,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.071324288597845
Appling,13001,BENZENE,1.5646523906704242
Appling,13001,BENZYL CHLORIDE,5.72095801e-07
Appling,13001,BERYLLIUM COMPOUNDS,0.0022162757460549997
Appling,13001,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.000188898888105
Appling,13001,CADMIUM COMPOUNDS,0.006528333163551
Appling,13001,CARBON TETRACHLORIDE,3.180710060124454
Appling,13001,CHLOROPRENE,6.075972847999999e-06
Appling,13001,CHROMIUM VI (HEXAVALENT),0.09917524690061699
Appling,13001,EPICHLOROHYDRIN,7.752178000000001e-09
Appling,13001,ETHYLBENZENE,0.08487860995618698
Appling,13001,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.003066954818641
Appling,13001,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.004026661246781
Appling,13001,ETHYLENE OXIDE,0.43045642299806103
Appling,13001,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",1.3331287055e-05
Appling,13001,FORMALDEHYDE,25.096815313074107
Appling,13001,HEXACHLOROBENZENE,5.8754988240000006e-05
Appling,13001,HEXACHLOROBUTADIENE,2.2938063999999997e-08
Appling,13001,METHYL TERT-BUTYL ETHER,1.6888976100000003e-07
Appling,13001,METHYLENE CHLORIDE,0.00261138141742
Appling,13001,NAPHTHALENE,0.517171022710503
