county,fips,pollutant,val,population
Acadia,22001,"1,1,2-TRICHLOROETHANE",6.1523054379e-05,61773
Acadia,22001,"1,3-BUTADIENE",1.041201077283147,61773
Acadia,22001,"1,3-DICHLOROPROPENE",7.0192250313e-05,61773
Acadia,22001,"1,4-DICHLOROBENZENE",0.001088192787755,61773
Acadia,22001,"1,4-DIOXANE",2.6484612973000004e-05,61773
Acadia,22001,"2,4,6-TRICHLOROPHENOL",3.967617906e-06,61773
Acadia,22001,"2,4-DINITROTOLUENE",1.1031673497000001e-05,61773
Acadia,22001,"2,4-TOLUENE DIISOCYANATE",9.247706153399998e-05,61773
Acadia,22001,2-NITROPROPANE,5.666109e-09,61773
Acadia,22001,"4,4'-METHYLENE BIS(2-CHLOROANILINE)",2.696276e-07,61773
Acadia,22001,ACETALDEHYDE,2.908333546418142,61773
Acadia,22001,ACETAMIDE,9.01748831e-06,61773
Acadia,22001,ACRYLONITRILE,0.006438753467469,61773
Acadia,22001,ALLYL CHLORIDE,4.03461344e-07,61773
Acadia,22001,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.07469275899314701,61773
Acadia,22001,BENZENE,1.950504063574084,61773
Acadia,22001,BENZYL CHLORIDE,6.9343160161e-05,61773
Acadia,22001,BERYLLIUM COMPOUNDS,0.00288478605324,61773
Acadia,22001,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.00030213121268,61773
Acadia,22001,BROMOFORM,8.5014546e-08,61773
Acadia,22001,CADMIUM COMPOUNDS,0.008704864962122,61773
Acadia,22001,CARBON TETRACHLORIDE,3.182308123923437,61773
Acadia,22001,CHLOROPRENE,0.0037837570537540004,61773
Acadia,22001,CHROMIUM VI (HEXAVALENT),0.069178821804086,61773
Acadia,22001,EPICHLOROHYDRIN,1.8767856e-08,61773
Acadia,22001,ETHYLBENZENE,0.11575776754816901,61773
Acadia,22001,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.008475671375867,61773
Acadia,22001,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.027675278677765,61773
Acadia,22001,ETHYLENE OXIDE,1.963586689202616,61773
Acadia,22001,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",4.54864811e-06,61773
Acadia,22001,FORMALDEHYDE,20.83716299931953,61773
Acadia,22001,HEXACHLOROBENZENE,9.209679256799998e-05,61773
Acadia,22001,HEXACHLOROBUTADIENE,5.5531994e-08,61773
Acadia,22001,METHYL TERT-BUTYL ETHER,7.535565299999999e-08,61773
Acadia,22001,METHYLENE CHLORIDE,0.002406574837828,61773
Acadia,22001,NAPHTHALENE,1.3589274199896169,61773
Acadia,22001,NICKEL COMPOUNDS,0.053248130637777995,61773
Acadia,22001,NITROBENZENE,9.08272807e-07,61773
Acadia,22001,O-TOLUIDINE,3.0830753700000005e-07,61773
Acadia,22001,PAHPOM,0.185484637921406,61773
Acadia,22001,POLYCHLORINATED BIPHENYLS (AROCLORS),1.9940791100000003e-07,61773
Acadia,22001,PROPYLENE OXIDE,6.8438358029e-05,61773
Acadia,22001,TETRACHLOROETHYLENE,0.00283433949922,61773
Acadia,22001,TRICHLOROETHYLENE,0.010903603685232001,61773
Acadia,22001,VINYL CHLORIDE,0.007520284551061999,61773
