county,fips,pollutant,val
Barnstable,25001,"1,1,2-TRICHLOROETHANE",4.1444931e-08
Barnstable,25001,"1,3-BUTADIENE",0.402128248419188
Barnstable,25001,"1,4-DICHLOROBENZENE",0.00155541443124
Barnstable,25001,"1,4-DIOXANE",2.0405524227e-05
Barnstable,25001,"2,4,6-TRICHLOROPHENOL",6.542514720000001e-07
Barnstable,25001,"2,4-DINITROTOLUENE",6.9614790720000005e-06
Barnstable,25001,"2,4-TOLUENE DIISOCYANATE",6.977792086300001e-05
Barnstable,25001,2-NITROPROPANE,3.6207030000000003e-09
Barnstable,25001,"4,4'-METHYLENE BIS(2-CHLOROANILINE)",0.000282301605901
Barnstable,25001,ACETALDEHYDE,1.142555051516356
Barnstable,25001,ACETAMIDE,4.114605022e-06
Barnstable,25001,ACRYLAMIDE,3.666815621e-06
Barnstable,25001,ACRYLONITRILE,0.003881180188687
Barnstable,25001,ALLYL CHLORIDE,2.57784629e-07
Barnstable,25001,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.100711987337888
Barnstable,25001,BENZENE,2.3523551955222968
Barnstable,25001,BENZYL CHLORIDE,4.3442704236999996e-05
Barnstable,25001,BERYLLIUM COMPOUNDS,0.024424159739043997
Barnstable,25001,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),5.780417528800001e-05
Barnstable,25001,BROMOFORM,5.3637974999999996e-08
Barnstable,25001,CADMIUM COMPOUNDS,0.02473868793912
Barnstable,25001,CARBON TETRACHLORIDE,3.300158129660709
Barnstable,25001,CHLOROPRENE,1.725388144e-05
Barnstable,25001,CHROMIUM VI (HEXAVALENT),0.06253426323199701
Barnstable,25001,EPICHLOROHYDRIN,1.1992441e-08
Barnstable,25001,ETHYLBENZENE,0.130341680676538
Barnstable,25001,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.0007258017717160001
Barnstable,25001,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0025779479127820003
Barnstable,25001,ETHYLENE OXIDE,0.135235100843313
Barnstable,25001,FORMALDEHYDE,8.788252748774124
Barnstable,25001,HEXACHLOROBENZENE,1.5557884041e-05
Barnstable,25001,HEXACHLOROBUTADIENE,3.5506558e-08
Barnstable,25001,METHYL TERT-BUTYL ETHER,4.8019141999999994e-08
Barnstable,25001,METHYLENE CHLORIDE,0.002934202830179
Barnstable,25001,NAPHTHALENE,0.37434446055065007
Barnstable,25001,NICKEL COMPOUNDS,0.05665465564931099
Barnstable,25001,NITROBENZENE,5.810742239999999e-07
Barnstable,25001,O-TOLUIDINE,1.9763267499999997e-07
Barnstable,25001,PAHPOM,0.035646899275859005
Barnstable,25001,POLYCHLORINATED BIPHENYLS (AROCLORS),1.528690314e-06
Barnstable,25001,PROPYLENE OXIDE,5.997207449e-06
Barnstable,25001,TETRACHLOROETHYLENE,0.003915364785842
Barnstable,25001,TRICHLOROETHYLENE,0.035170628297225
Barnstable,25001,VINYL CHLORIDE,0.000521465284128
Berkshire,25003,"1,1,2-TRICHLOROETHANE",9.904500225e-06
Berkshire,25003,"1,3-BUTADIENE",0.324084005770855
