county,fips,pollutant,val
Belknap,33001,"1,1,2-TRICHLOROETHANE",4.945887e-08
Belknap,33001,"1,3-BUTADIENE",0.495387005640053
Belknap,33001,"1,3-DICHLOROPROPENE",4.7500703013e-05
Belknap,33001,"1,4-DICHLOROBENZENE",0.001218762960264
Belknap,33001,"1,4-DIOXANE",1.6494038387e-05
Belknap,33001,"2,4,6-TRICHLOROPHENOL",4.383132706e-06
Belknap,33001,"2,4-DINITROTOLUENE",8.434556294e-06
Belknap,33001,"2,4-TOLUENE DIISOCYANATE",4.3486608111e-05
Belknap,33001,2-NITROPROPANE,4.313352e-09
Belknap,33001,ACETALDEHYDE,1.785478863125676
Belknap,33001,ACETAMIDE,1.9609018528e-05
Belknap,33001,ACRYLONITRILE,0.003327783067014
Belknap,33001,ALLYL CHLORIDE,3.07207489e-07
Belknap,33001,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.222616469213531
Belknap,33001,BENZENE,2.582871668397687
Belknap,33001,BENZYL CHLORIDE,0.00014555581806299998
Belknap,33001,BERYLLIUM COMPOUNDS,0.07708412955754901
Belknap,33001,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.000326766092449
Belknap,33001,BROMOFORM,1.80072218e-07
Belknap,33001,CADMIUM COMPOUNDS,0.065024807371364
Belknap,33001,CARBON TETRACHLORIDE,3.275471020992955
Belknap,33001,CHLOROPRENE,1.3959671557e-05
Belknap,33001,CHROMIUM VI (HEXAVALENT),0.053963323829277
Belknap,33001,EPICHLOROHYDRIN,1.430536e-08
Belknap,33001,ETHYLBENZENE,0.171939467553607
Belknap,33001,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.0017451158157329998
Belknap,33001,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.002179742825416
Belknap,33001,ETHYLENE OXIDE,0.122667037149343
Belknap,33001,ETHYLENE THIOUREA,2.4273000000000004e-11
Belknap,33001,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",2.75302401e-07
Belknap,33001,FORMALDEHYDE,11.42874103877688
Belknap,33001,HEXACHLOROBENZENE,0.000101261136625
Belknap,33001,HEXACHLOROBUTADIENE,4.231495099999999e-08
Belknap,33001,METHYL TERT-BUTYL ETHER,8.200370599999999e-08
Belknap,33001,METHYLENE CHLORIDE,0.002973441104586
Belknap,33001,NAPHTHALENE,0.554032049953181
Belknap,33001,NICKEL COMPOUNDS,0.040200452255903
Belknap,33001,NITROBENZENE,6.92604761e-07
Belknap,33001,O-TOLUIDINE,2.35735436e-07
Belknap,33001,PAHPOM,0.043021302274699996
Belknap,33001,PENTACHLOROPHENOL,1.8336618999999998e-08
Belknap,33001,POLYCHLORINATED BIPHENYLS (AROCLORS),1.208674e-09
Belknap,33001,PROPYLENE OXIDE,8.404817079e-06
Belknap,33001,TETRACHLOROETHYLENE,0.0037959395991839996
Belknap,33001,TRICHLOROETHYLENE,0.02964898716095
Belknap,33001,VINYL CHLORIDE,0.00041452937699499996
Carroll,33003,"1,1,2-TRICHLOROETHANE",4.0612631e-08
Carroll,33003,"1,3-BUTADIENE",0.35994672577672293
Carroll,33003,"1,3-DICHLOROPROPENE",2.1509383659e-05
Carroll,33003,"1,4-DICHLOROBENZENE",0.001059170456054
Carroll,33003,"1,4-DIOXANE",8.124841682e-06
Carroll,33003,"2,4,6-TRICHLOROPHENOL",2.978045665e-06
Carroll,33003,"2,4-DINITROTOLUENE",6.880445021000001e-06
