county,fips,pollutant,val
Adams,39001,"1,1,2-TRICHLOROETHANE",1.1708214199999999e-07
Adams,39001,"1,3-BUTADIENE",0.23572197505750803
Adams,39001,"1,3-DICHLOROPROPENE",2.8147866665000003e-05
Adams,39001,"1,4-DICHLOROBENZENE",0.00168003242425
Adams,39001,"1,4-DIOXANE",8.458919313999999e-06
Adams,39001,"2,4,6-TRICHLOROPHENOL",2.323849142e-06
Adams,39001,"2,4-DINITROTOLUENE",3.486556711e-06
Adams,39001,"2,4-TOLUENE DIISOCYANATE",0.000138435748685
Adams,39001,2-NITROPROPANE,9.79458e-10
Adams,39001,ACETALDEHYDE,2.24808434333673
Adams,39001,ACETAMIDE,0.00010084312065
Adams,39001,ACRYLONITRILE,0.013670661496941999
Adams,39001,ALLYL CHLORIDE,6.9503594e-08
Adams,39001,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.144931937419672
Adams,39001,BENZENE,2.036101778332381
Adams,39001,BENZYL CHLORIDE,0.002841078793243
Adams,39001,BERYLLIUM COMPOUNDS,0.007148773082808
Adams,39001,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.000185888063779
Adams,39001,BROMOFORM,3.5569391180000004e-06
Adams,39001,CADMIUM COMPOUNDS,0.016086156452391
Adams,39001,CARBON TETRACHLORIDE,3.2105833208844046
Adams,39001,CHLOROPRENE,2.7697854940000003e-06
Adams,39001,CHROMIUM VI (HEXAVALENT),0.176875581077272
Adams,39001,COKE OVEN EMISSIONS,0.000243384826415
Adams,39001,EPICHLOROHYDRIN,3.243680999999999e-09
Adams,39001,ETHYLBENZENE,0.107915410746476
Adams,39001,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.006918855837525
Adams,39001,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0032885332863059995
Adams,39001,ETHYLENE OXIDE,0.397201058037726
Adams,39001,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",7.849951e-09
Adams,39001,FORMALDEHYDE,15.807010734933609
Adams,39001,HEXACHLOROBENZENE,5.4824362087e-05
Adams,39001,HEXACHLOROBUTADIENE,9.601255e-09
Adams,39001,HYDRAZINE,4.750354050800001e-05
Adams,39001,METHYL TERT-BUTYL ETHER,7.64386083e-07
Adams,39001,METHYLENE CHLORIDE,0.002630670831513
Adams,39001,NAPHTHALENE,0.45243859391826396
Adams,39001,NICKEL COMPOUNDS,0.09915707159000099
Adams,39001,NITROBENZENE,1.5696523499999998e-07
Adams,39001,O-TOLUIDINE,5.3470853e-08
Adams,39001,PAHPOM,0.085056716799339
Adams,39001,PENTACHLOROPHENOL,1.34118e-10
Adams,39001,POLYCHLORINATED BIPHENYLS (AROCLORS),1.080449293e-06
Adams,39001,PROPYLENE OXIDE,2.2199616519999997e-06
