county,fips,pollutant,val,population
Baker,41001,"1,1,2-TRICHLOROETHANE",1.0825100000000001e-08,16134
Baker,41001,"1,3-BUTADIENE",0.21448446238176,16134
Baker,41001,"1,3-DICHLOROPROPENE",0.0007983399648139999,16134
Baker,41001,"1,4-DICHLOROBENZENE",0.008161753860168,16134
Baker,41001,"1,4-DIOXANE",4.365273861e-06,16134
Baker,41001,"2,4,6-TRICHLOROPHENOL",8.83800665e-07,16134
Baker,41001,"2,4-DINITROTOLUENE",1.776828257e-06,16134
Baker,41001,"2,4-TOLUENE DIISOCYANATE",7.07108507e-06,16134
Baker,41001,2-NITROPROPANE,3.971295e-09,16134
Baker,41001,ACETALDEHYDE,1.680925112207956,16134
Baker,41001,ACETAMIDE,4.409493971e-06,16134
Baker,41001,ACRYLONITRILE,0.001429489047819,16134
Baker,41001,ALLYL CHLORIDE,6.5243306e-08,16134
Baker,41001,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.021224358906943002,16134
Baker,41001,BENZENE,0.949858586122802,16134
Baker,41001,BENZYL CHLORIDE,1.1181586438e-05,16134
Baker,41001,BERYLLIUM COMPOUNDS,0.005170785122329001,16134
Baker,41001,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),6.638179167e-05,16134
Baker,41001,BROMOFORM,1.3703748e-08,16134
Baker,41001,CADMIUM COMPOUNDS,0.007491984503726,16134
Baker,41001,CARBON TETRACHLORIDE,2.886013392672928,16134
Baker,41001,CHLOROPRENE,3.0222111569999998e-06,16134
Baker,41001,CHROMIUM VI (HEXAVALENT),0.019317113678352,16134
Baker,41001,EPICHLOROHYDRIN,3.041316e-09,16134
Baker,41001,ETHYLBENZENE,0.041201816835943,16134
Baker,41001,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.001692804308399,16134
Baker,41001,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0004903359874310001,16134
Baker,41001,ETHYLENE OXIDE,0.29772403187316804,16134
Baker,41001,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",1.276243371e-06,16134
Baker,41001,FORMALDEHYDE,10.06811044435239,16134
Baker,41001,HEXACHLOROBENZENE,2.0274232630999997e-05,16134
Baker,41001,HEXACHLOROBUTADIENE,8.992531e-09,16134
Baker,41001,METHYL TERT-BUTYL ETHER,1.3777867e-08,16134
Baker,41001,METHYLENE CHLORIDE,0.002369738423076,16134
Baker,41001,NAPHTHALENE,0.43373805487290396,16134
Baker,41001,NICKEL COMPOUNDS,0.006224095381401,16134
Baker,41001,NITROBENZENE,1.47102446e-07,16134
Baker,41001,O-TOLUIDINE,5.006210299999999e-08,16134
Baker,41001,PAHPOM,0.086912359738774,16134
Baker,41001,PENTACHLOROPHENOL,2.8719029999999997e-09,16134
Baker,41001,POLYCHLORINATED BIPHENYLS (AROCLORS),2.425429383e-06,16134
Baker,41001,PROPYLENE OXIDE,1.5186044909999998e-06,16134
Baker,41001,TETRACHLOROETHYLENE,0.0027197931240759998,16134
Baker,41001,TRICHLOROETHYLENE,0.002599021205086,16134
Baker,41001,VINYL CHLORIDE,0.000212788138931,16134
Benton,41003,"1,1,2-TRICHLOROETHANE",8.7520596e-08,85579
Benton,41003,"1,3-BUTADIENE",0.736142281626295,85579
Benton,41003,"1,4-DICHLOROBENZENE",0.0016713269032589998,85579
Benton,41003,"1,4-DIOXANE",2.9184840735999997e-05,85579
Benton,41003,"2,4,6-TRICHLOROPHENOL",2.6549791969999994e-06,85579
Benton,41003,"2,4-DINITROTOLUENE",1.4769927636e-05,85579
Benton,41003,"2,4-TOLUENE DIISOCYANATE",5.0893123666e-05,85579
Benton,41003,2-NITROPROPANE,7.632009e-09,85579
Benton,41003,ACETALDEHYDE,2.4011222560928642,85579
Benton,41003,ACETAMIDE,0.0006327899844140001,85579
Benton,41003,ACRYLONITRILE,0.000706186520207,85579
Benton,41003,ALLYL CHLORIDE,5.42884941e-07,85579
Benton,41003,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.051609150118527,85579
Benton,41003,BENZENE,2.175927733130193,85579
Benton,41003,BENZYL CHLORIDE,0.000108165352138,85579
Benton,41003,BERYLLIUM COMPOUNDS,0.006827437482269,85579
Benton,41003,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.00020629709673400005,85579
Benton,41003,BROMOFORM,1.32910159e-07,85579
Benton,41003,CADMIUM COMPOUNDS,0.007094610258295,85579
Benton,41003,CARBON TETRACHLORIDE,3.237654701168412,85579
Benton,41003,CHLOROPRENE,2.8669525831e-05,85579
Benton,41003,CHROMIUM VI (HEXAVALENT),0.016726425557211,85579
Benton,41003,EPICHLOROHYDRIN,1.2756245063e-05,85579
