county,fips,pollutant,val,population
Adams,53001,"1,1,2-TRICHLOROETHANE",1.7308541000000002e-08,18728
Adams,53001,"1,3-BUTADIENE",0.392810040653131,18728
Adams,53001,"1,4-DICHLOROBENZENE",0.003246047754678,18728
Adams,53001,"1,4-DIOXANE",7.033990877999999e-06,18728
Adams,53001,"2,4,6-TRICHLOROPHENOL",5.53129211e-06,18728
Adams,53001,"2,4-DINITROTOLUENE",2.9240896139999995e-06,18728
Adams,53001,"2,4-TOLUENE DIISOCYANATE",1.4173804564000002e-05,18728
Adams,53001,2-NITROPROPANE,1.507604e-09,18728
Adams,53001,ACETALDEHYDE,2.3631566687670507,18728
Adams,53001,ACETAMIDE,0.001257435763294,18728
Adams,53001,ACRYLONITRILE,0.001107439779936,18728
Adams,53001,ALLYL CHLORIDE,1.0753684e-07,18728
Adams,53001,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.038448030199162,18728
Adams,53001,BENZENE,1.5440644180627867,18728
Adams,53001,BENZYL CHLORIDE,3.852995092099999e-05,18728
Adams,53001,BERYLLIUM COMPOUNDS,0.0031994075510949995,18728
Adams,53001,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.000400457290013,18728
Adams,53001,BROMOFORM,4.7729376e-08,18728
Adams,53001,CADMIUM COMPOUNDS,0.003869888988352,18728
Adams,53001,CARBON TETRACHLORIDE,3.168244151715418,18728
Adams,53001,CHLOROPRENE,4.563497671e-06,18728
Adams,53001,CHROMIUM VI (HEXAVALENT),0.020369762181838003,18728
Adams,53001,EPICHLOROHYDRIN,5.001497e-09,18728
Adams,53001,ETHYLBENZENE,0.06840685146583099,18728
Adams,53001,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.000714209072472,18728
Adams,53001,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0008068534950930001,18728
Adams,53001,ETHYLENE OXIDE,0.21797538443007602,18728
Adams,53001,FORMALDEHYDE,14.24507615485951,18728
Adams,53001,HEXACHLOROBENZENE,6.455577240300001e-05,18728
Adams,53001,HEXACHLOROBUTADIENE,1.473973e-08,18728
Adams,53001,METHYL TERT-BUTYL ETHER,2.5369015e-08,18728
Adams,53001,METHYLENE CHLORIDE,0.00282371548678,18728
Adams,53001,NAPHTHALENE,1.040693285477924,18728
Adams,53001,NICKEL COMPOUNDS,0.008891441091346,18728
Adams,53001,NITROBENZENE,2.4159171799999997e-07,18728
Adams,53001,O-TOLUIDINE,8.2485686e-08,18728
Adams,53001,PAHPOM,0.171767791542395,18728
Adams,53001,PENTACHLOROPHENOL,1.723126043e-06,18728
Adams,53001,POLYCHLORINATED BIPHENYLS (AROCLORS),0.001823158985908,18728
Adams,53001,PROPYLENE OXIDE,2.4819012830000004e-06,18728
Adams,53001,TETRACHLOROETHYLENE,0.0031831725176549998,18728
Adams,53001,TRICHLOROETHYLENE,0.009668716269997,18728
Adams,53001,VINYL CHLORIDE,0.000149699089688,18728
Asotin,53003,"1,1,2-TRICHLOROETHANE",9.195520399999999e-08,21623
Asotin,53003,"1,3-BUTADIENE",0.6998290751041361,21623
Asotin,53003,"1,3-DICHLOROPROPENE",0.040815925308586,21623
Asotin,53003,"1,4-DICHLOROBENZENE",0.062113238002157005,21623
Asotin,53003,"1,4-DIOXANE",5.8742613063e-05,21623
Asotin,53003,"2,4,6-TRICHLOROPHENOL",7.757064578e-06,21623
Asotin,53003,"2,4-DINITROTOLUENE",1.5258412177999999e-05,21623
Asotin,53003,"2,4-TOLUENE DIISOCYANATE",5.020315706e-05,21623
Asotin,53003,2-NITROPROPANE,1.2464093390000001e-06,21623
Asotin,53003,ACETALDEHYDE,2.542418325907761,21623
Asotin,53003,ACETAMIDE,2.8155506079999998e-06,21623
Asotin,53003,ACRYLONITRILE,0.022954051920281,21623
Asotin,53003,ALLYL CHLORIDE,5.59780584e-07,21623
Asotin,53003,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.068301861128491,21623
Asotin,53003,BENZENE,2.11417069955472,21623
Asotin,53003,BENZYL CHLORIDE,2.6084635405999998e-05,21623
Asotin,53003,BERYLLIUM COMPOUNDS,0.01764347813388,21623
Asotin,53003,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.000581527630632,21623
Asotin,53003,BROMOFORM,3.0202195e-08,21623
Asotin,53003,CADMIUM COMPOUNDS,0.017834829870817002,21623
Asotin,53003,CARBON TETRACHLORIDE,3.1163928069248836,21623
Asotin,53003,CHLOROPRENE,3.4629089411e-05,21623
Asotin,53003,CHROMIUM VI (HEXAVALENT),0.030498283753959996,21623
Asotin,53003,EPICHLOROHYDRIN,2.6160738999999998e-08,21623
Asotin,53003,ETHYLBENZENE,0.18017099369609402,21623
Asotin,53003,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.002080610909159,21623
Asotin,53003,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.002384392889367,21623
Asotin,53003,ETHYLENE OXIDE,0.00346136878936,21623
Asotin,53003,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.00047815300452999995,21623
Asotin,53003,FORMALDEHYDE,15.48081661169508,21623
Asotin,53003,HEXACHLOROBENZENE,9.096849689000001e-05,21623
Asotin,53003,HEXACHLOROBUTADIENE,7.738106799999999e-08,21623
Asotin,53003,METHYL TERT-BUTYL ETHER,7.26546446e-07,21623
Asotin,53003,METHYLENE CHLORIDE,0.00312993344175,21623
Asotin,53003,NAPHTHALENE,1.5311247653542441,21623
Asotin,53003,NICKEL COMPOUNDS,0.024392811971202005,21623
